Date,Prev close,Open,High,Low,Close,Volume
03-01-2000,67.8,65,70,65,68.7,76055
04-01-2000,68.7,69.85,72.9,66,66.35,98097
05-01-2000,66.35,68.35,68.7,61.1,63.2,92690
06-01-2000,63.2,64.8,67,63,64.95,173654
07-01-2000,64.95,65.9,65.9,62,62.65,86590
10-01-2000,62.65,64.95,64.95,62,62.3,85104
11-01-2000,62.3,62,62.4,59,59.8,97101
12-01-2000,59.8,62.7,62.7,60.25,61.55,97974
13-01-2000,61.55,62.3,62.5,61.25,61.85,28151
14-01-2000,61.85,61.75,62.9,60.05,62.45,33125
17-01-2000,62.45,63.5,64.45,62,63.8,82245
18-01-2000,63.8,64.4,67.9,63.55,66.95,70485
19-01-2000,66.95,70,70,65,65.8,119332
20-01-2000,65.8,65.5,66.45,62.85,63.4,47088
21-01-2000,63.4,62.25,64,62,62.25,57404
24-01-2000,62.25,63,64.25,61.25,62.15,53436
25-01-2000,62.15,61.25,62.45,60.15,60.55,81899
27-01-2000,60.55,62.7,63,60.5,60.8,38220
28-01-2000,60.8,61.25,61.25,60,60.85,17670
31-01-2000,60.85,60.25,61,58.1,58.5,24481
01-02-2000,58.5,59,59.8,58.3,58.6,34865
02-02-2000,58.6,60.75,61.95,60,61.05,31500
03-02-2000,61.05,60.6,62.45,60.6,60.95,179501
04-02-2000,60.95,61.5,61.5,59,59.85,42005
07-02-2000,59.85,58,60.7,58,58.75,19835
08-02-2000,58.75,58.45,59.25,56.25,56.95,43484
09-02-2000,56.95,59.45,59.5,57,58.75,20148
10-02-2000,58.75,59.8,62,59.3,61.5,102515
11-02-2000,61.5,63.1,65,60.1,60.3,40995
14-02-2000,60.3,61,61.9,57,57.15,38631
15-02-2000,57.15,57,59.6,56.15,57.85,457722
16-02-2000,57.85,59.55,61,57.6,58.15,39696
17-02-2000,58.15,59.55,62.8,59.55,62.8,153868
18-02-2000,62.8,67.85,67.85,67.85,67.85,30848
21-02-2000,67.85,73.3,73.3,73.3,73.3,35708
22-02-2000,73.3,79.2,79.2,78.75,79.2,260024
23-02-2000,79.2,85.5,85.5,73.05,83.7,658407
24-02-2000,83.7,84,84.9,77,77,88980
25-02-2000,77,75.05,78.7,70.85,70.85,69660
28-02-2000,70.85,67,70.45,65.2,69.7,120546
29-02-2000,69.7,70.1,74.4,65,65.55,134205
01-03-2000,65.55,65.1,70,65.05,68.2,35970
02-03-2000,68.2,70.5,71.5,63,63.65,47455
03-03-2000,63.65,62.5,64,59.75,60.6,36210
06-03-2000,60.6,59.55,61.5,57.55,60,37080
07-03-2000,60,56.55,59,56.3,57.2,105815
08-03-2000,57.2,60.9,61.8,56.5,61.4,78465
09-03-2000,61.4,64.4,65.9,59,65.35,44237
10-03-2000,65.35,62,67.9,62,65.35,70990
13-03-2000,65.35,64.9,65.7,62.75,64.75,51160
14-03-2000,64.75,62.2,67.8,62,64.95,151438
15-03-2000,64.95,65,66,63.1,64.8,37636
16-03-2000,64.8,63.1,66,63,64.95,49930
21-03-2000,64.95,63.1,64.3,59.95,60.05,78537
02-07-2001,65,65.1,68,64,64.4,3480
03-07-2001,64.4,67.45,67.45,63.1,64.4,2350
04-07-2001,64.4,64.4,65.5,64,65.05,3755
05-07-2001,65.05,64.55,65.1,64.05,65,8190
06-07-2001,65,64.6,65,64.25,65,18870
09-07-2001,65,63.75,65.25,62,65,20910
10-07-2001,65,64.45,65.25,64.45,64.9,9589
11-07-2001,64.9,65.6,65.7,64.1,65.15,11845
12-07-2001,65.15,65.65,65.7,64.5,65.1,5120
13-07-2001,65.1,64.5,65.25,64.25,64.5,9515
16-07-2001,64.5,64.5,66,64.25,64.75,10410
17-07-2001,64.75,65.25,66,64.15,64.15,28977
18-07-2001,64.15,64.25,65.75,64.25,64.85,19055
19-07-2001,64.85,64.5,65,63.5,63.5,21655
20-07-2001,63.5,63.8,64,63,63,62751
23-07-2001,63,62.5,62.5,62,62,50
24-07-2001,62,63.15,63.15,61.75,62.2,9700
25-07-2001,62.2,60.75,61.45,58.3,59.1,17316
26-07-2001,59.1,59,59,57.15,58.35,6694
27-07-2001,58.35,58,59,56,59,14627
30-07-2001,59,58.8,59.5,58.1,59.05,4650
31-07-2001,59.05,59.55,60,59,60,1886
01-08-2001,60,59.85,60,58.75,59.55,16810
02-08-2001,59.55,59.95,60.65,59.3,59.95,6048
03-08-2001,59.95,59.25,60,59,59.8,13829
06-08-2001,59.8,59.9,60,59.4,59.9,16155
07-08-2001,59.9,59.75,60.65,59.75,60.4,8525
08-08-2001,60.4,59.75,60.25,59.75,59.95,20555
09-08-2001,59.95,59.3,60,59.3,60,3210
10-08-2001,60,60.6,60.6,59.5,59.95,4344
13-08-2001,59.95,59.6,60.35,59.6,60.05,3390
14-08-2001,60.05,59.6,61.5,59.25,60.45,7817
16-08-2001,60.45,60.5,61.5,60.5,61.2,1396
17-08-2001,61.2,61.45,62.25,61,61.55,12060
20-08-2001,61.55,61.6,62,61.5,61.9,1785
21-08-2001,61.9,62.75,64,61,61.95,45417
