Date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume
03-01-2000,2136.6,2300,2307.55,2300,2307.55,2307.55,2307.08,24903
04-01-2000,2307.55,2381,2381,2250,2270,2281.05,2298.15,58514
05-01-2000,2281.05,2200,2250,2105,2183.5,2199.9,2211.17,80296
06-01-2000,2199.9,2224.9,2360,2210,2300,2288.2,2301.8,190032
07-01-2000,2288.2,2300,2452,2282.25,2395,2412.95,2380.24,192582
10-01-2000,2412.95,2445,2499,2410,2440,2431.25,2464.07,86591
11-01-2000,2431.25,2450,2529,2390,2450,2485.8,2460.27,134411
12-01-2000,2485.8,2500,2684.7,2490,2684.7,2647.8,2579.17,177057
13-01-2000,2647.8,2699,2859.65,2650,2783,2786.65,2804.4,254508
14-01-2000,2786.65,2750,2777,2650,2697.05,2702.1,2706.88,120240
17-01-2000,2702.1,2748.9,2750,2545.1,2600,2598.25,2609.45,96539
18-01-2000,2598.25,2597,2608,2546,2570,2561.45,2569.03,89439
19-01-2000,2561.45,2575,2600,2501,2522,2528.95,2544.73,118666
20-01-2000,2528.95,2525,2535,2515,2525,2524.4,2527.08,121559
21-01-2000,2524.4,2540,2595,2536.6,2550,2548.1,2551.42,75012
24-01-2000,2548.1,2550,2649,2541,2575,2578.5,2587.48,71199
25-01-2000,2578.5,2597.7,2597.7,2546,2550,2552.05,2558.39,54093
27-01-2000,2552.05,2620,2680,2539,2560,2559.65,2571.43,92647
28-01-2000,2559.65,2525,2564.8,2490,2496,2523.75,2546.01,46421
31-01-2000,2523.75,2445,2494,2401,2433.5,2440,2445.59,69079
01-02-2000,2440,2415,2415,2285,2315,2326.7,2328.27,117442
02-02-2000,2326.7,2400,2499,2375,2427,2406.95,2422.46,98325
03-02-2000,2406.95,2428,2451,2359,2430,2437.9,2431.79,58365
04-02-2000,2437.9,2439.8,2439.8,2325,2340,2346.75,2371.86,33380
07-02-2000,2346.75,2345,2355,2275,2309,2308.95,2325.87,36764
08-02-2000,2308.95,2300,2334.5,2300,2303,2306.95,2317.1,41790
09-02-2000,2306.95,2440,2480,2365,2419,2418.1,2405.02,67504
10-02-2000,2418.1,2381.25,2445,2320,2320,2331.1,2359.98,87892
11-02-2000,2331.1,2395,2449.9,2307,2370,2376.5,2359.1,156867
14-02-2000,2376.5,2370,2415,2297,2301,2300.3,2318.04,57803
15-02-2000,2300.3,2310,2359.85,2280,2300,2302,2321.31,71513
16-02-2000,2302,2400,2410,2300,2314.95,2311.05,2339.27,90729
17-02-2000,2311.05,2347,2347,2310,2325,2327.05,2327.82,62080
18-02-2000,2327.05,2327.9,2513.25,2315,2513.25,2513,2428.76,238060
21-02-2000,2513,2664,2714.05,2601,2714.05,2714.05,2706.6,343736
22-02-2000,2714.05,2920,2931.2,2920,2931.2,2931.2,2931.18,115349
23-02-2000,2931.2,3165.7,3165.7,2765,2900,2875.9,3028.73,554204
24-02-2000,2875.9,2998,3106,2925,3106,3086.75,3027.54,285232
