Date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume
03-01-2000,69.2,74.35,74.75,71.4,74.75,74.75,73.2,286260
04-01-2000,74.75,73.05,78.5,71,73.25,73.05,73.38,296264
05-01-2000,73.05,70,73.5,67.5,70,69.5,70.85,227624
06-01-2000,69.5,71,74,69.55,69.75,70.05,72.04,275149
07-01-2000,70.05,69,72.5,66,67,67.4,68.72,138809
10-01-2000,67.4,67,71,67,70,69.9,69.78,249656
11-01-2000,69.9,69.15,70.45,66.1,69,69.35,68.89,307601
12-01-2000,69.35,69,74.9,69,74.9,74.9,74.35,88395
13-01-2000,74.9,80,80.9,78,79,79.35,80.43,494679
14-01-2000,79.35,78,80.8,75,80.05,79,78.15,703072
17-01-2000,79,81.8,85.35,81.8,85.35,85.35,85.32,242095
18-01-2000,85.35,88.1,88.1,82,85.05,84.8,84.69,332383
19-01-2000,84.8,88.7,91.6,87,91.6,91.6,91.29,319504
20-01-2000,91.6,98.9,98.95,95,96.15,96.35,97.19,562692
21-01-2000,96.35,103.75,103.75,90.65,100,99.35,97.3,497788
24-01-2000,99.35,101,107.3,101,107.3,107.3,106.59,238959
25-01-2000,107.3,112,115.9,105.9,115.9,115.9,114.25,377898
27-01-2000,115.9,125.2,125.2,125.15,125.2,125.2,125.2,55421
28-01-2000,125.2,130,135.25,125.2,135.25,135.25,133.89,140552
31-01-2000,135.25,145,146.1,142.8,146.1,146.1,146.05,48483
01-02-2000,146.1,157.8,157.8,154.1,157.8,157.8,157.18,294448
02-02-2000,157.8,170.4,170.45,170.4,170.45,170.45,170.45,77058
03-02-2000,170.45,180.9,184.1,156.85,156.85,156.85,164.29,1096584
04-02-2000,156.85,160,160,144.3,144.3,144.4,145.62,916856
07-02-2000,144.4,153.5,155.95,141,154.2,155.6,154.97,346954
08-02-2000,155.6,160,162,145,151.75,151.55,151.25,518908
09-02-2000,151.55,163,163,147,158,156.55,153.12,574437
10-02-2000,156.55,160,169.1,160,169.1,169.1,168.32,477509
11-02-2000,169.1,178.85,178.85,158.9,158.9,160.3,165.24,358089
14-02-2000,160.3,161.7,173,161.7,172.9,171.7,169.06,680012
15-02-2000,171.7,171.9,178,162,166.05,164.2,166.09,333939
16-02-2000,164.2,173.7,177.35,168,177.35,177.05,171.77,365906
17-02-2000,177.05,179.95,187.45,175,179.65,179.75,182.55,524041
18-02-2000,179.75,179,180,172.2,174,174.35,174.77,206088
21-02-2000,174.35,177,177,168.25,170,170.2,170.54,216847
22-02-2000,170.2,171,172,157.55,159,158.9,162.92,302490
23-02-2000,158.9,163,169.8,156,156.05,156.9,161.02,138078
24-02-2000,156.9,163,163,144.5,148.75,148.8,151.89,158543
25-02-2000,148.8,154,160.7,147.5,160.7,160.3,156.56,168818
28-02-2000,160.3,167,173.15,155,173.15,173.15,170.6,207492
29-02-2000,173.15,186.2,187,165.65,168,171.3,183.25,485692
01-03-2000,171.3,170,185,170,185,185,181.84,134657
02-03-2000,185,199.8,199.8,199.8,199.8,199.8,199.8,60344
03-03-2000,199.8,215.8,215.8,215.8,215.8,215.8,215.8,54422
06-03-2000,215.8,233.1,233.1,199.8,233.1,233.1,230.72,253604
07-03-2000,233.1,245,250,214.45,235,238.15,228.68,505774
08-03-2000,238.15,249.5,249.5,219.1,219.1,219.35,228.49,188461
09-03-2000,219.35,213,221.05,201.8,201.8,201.8,205.24,105191
10-03-2000,201.8,199.9,217.95,185.7,215.2,211.65,202.59,370944
13-03-2000,211.65,216,218.8,194.75,202,201.1,203.41,324805
14-03-2000,201.1,200,205,186,201,201.2,199.82,295642
15-03-2000,201.2,203.1,212.9,198,211,210.35,209.02,143921
16-03-2000,210.35,215,217,202,203.85,203.95,211.32,135423
21-03-2000,203.95,202,208.9,187.85,194,191.75,195.47,143802
22-03-2000,191.75,197,207,195,200,200.35,201.4,108196
23-03-2000,200.35,207,216.4,207,216.4,216.4,214.83,69268
24-03-2000,216.4,228,233.75,216.25,233.75,233.75,227.17,199705
27-03-2000,233.75,238,251.5,233,236.65,237.65,241.07,244731
28-03-2000,237.65,242,242.2,218.65,220,221.95,223.54,266906
29-03-2000,221.95,239.75,239.75,239.75,239.75,239.75,239.75,211225
30-03-2000,239.75,258.95,258.95,258.95,258.95,258.95,258.95,53319
31-03-2000,258.95,239.75,275,239,260.25,267.05,261.39,1049199
03-04-2000,267.05,272.75,279.65,245.7,250.5,247.45,252.46,608155
04-04-2000,247.45,245.75,245.75,227.65,227.65,229.25,228.27,729506
05-04-2000,229.25,227.65,227.65,210.95,210.95,210.95,215.86,100843
06-04-2000,210.95,212,219.95,194.1,203.4,202.85,199.35,263754
07-04-2000,202.85,215.95,219.1,215.95,219.1,219.1,218.86,59542
10-04-2000,219.1,224,236.65,224,236.65,236.65,236.41,27472
11-04-2000,236.65,220,249.45,217.75,243,242.8,229.9,228999
12-04-2000,242.8,259,259,232.1,236.85,236.95,237.5,147279
13-04-2000,236.95,232,232,218,225.95,224.5,222.54,241833
17-04-2000,224.5,206.55,225,206.55,209,209.25,208.49,223208
18-04-2000,209.25,219.9,225,210,221.9,219.9,218.18,107964
19-04-2000,219.9,235,235,211.05,217.05,217.55,221.28,134861
20-04-2000,217.55,220,220,206,217,215.45,210.54,97754
24-04-2000,215.45,218.9,220,204,204.5,206.15,210.33,129833
25-04-2000,206.15,197,206,189.7,203.25,202.7,194.46,282772
26-04-2000,202.7,216,218.95,208,218.95,218.95,214.99,144078
27-04-2000,218.95,224,234,220.2,229.5,229.2,227.67,340421
28-04-2000,229.2,225,238.35,225,236.7,235.5,233.57,302849
02-05-2000,235.5,235,240,217.1,224,220.25,223.55,343078
03-05-2000,220.25,218,225,204,224,223,214.84,239615
04-05-2000,223,228,228,207,212,211.45,215.81,172933
05-05-2000,211.45,219,219.45,211.05,215,215.8,215.88,160784
08-05-2000,215.8,214,215,207,211,210.1,210.98,118758
09-05-2000,210.1,209,220,205.2,219.9,219,214.17,155582
10-05-2000,219,219,219,213,214,215.25,215.63,89460
11-05-2000,215.25,213.1,213.1,198.1,208.5,204.25,203.7,255996
12-05-2000,204.25,207.25,211.75,202.5,209,208.25,207.9,118677
15-05-2000,208.25,201.1,210,194.5,209,209.25,202.97,155373
16-05-2000,209.25,212.95,212.95,204.4,207.3,207.95,206.9,86602
17-05-2000,207.95,211,219,208,210.5,209.7,213.08,139971
18-05-2000,209.7,209.05,212,206.3,210,210.05,209.25,54932
19-05-2000,210.05,208.05,212,207.2,211.95,210.1,208.94,43368
22-05-2000,210.1,209.1,211.9,204,205,205.6,206.91,53428
23-05-2000,205.6,205,212,200.05,212,208.95,205.35,127213
24-05-2000,208.95,203,210.5,203,206.5,206.65,207.8,72039
25-05-2000,206.65,208.9,211.6,206.25,208.85,207.7,209.4,57430
26-05-2000,207.7,205.35,209.9,203,207.95,207.65,206.45,58259
29-05-2000,207.65,209,212,205.1,210,209.75,208.83,63014
30-05-2000,209.75,209.4,212,207.25,210.7,210.45,209.12,60036
31-05-2000,210.45,219,224.6,209,211.8,211.4,212.83,135011
01-06-2000,211.4,210.5,211.9,208,208,208.5,209.17,21008
02-06-2000,208.5,209.9,211,200.05,206.8,207,206.95,126397
05-06-2000,207,211.8,231.85,211.8,231.85,231.65,225.17,359261
06-06-2000,231.65,233,234,222,226,230.1,226.89,146336
07-06-2000,230.1,231,234.25,216,216.5,217,222.7,85109
08-06-2000,217,216,217.85,205,213,212.95,211.89,261715
09-06-2000,212.95,214.5,215.4,208.2,214.95,214.15,212.93,95239
12-06-2000,214.15,213,216.25,206.1,210.1,210.6,209.78,143508
13-06-2000,210.6,206,211,204,210,210.2,208.56,90061
14-06-2000,210.2,208,216.9,208,209.5,209.45,210.77,106741
15-06-2000,209.45,207.55,213.4,207,209.6,209.3,209.74,124410
16-06-2000,209.3,211,211.95,208.5,209.95,209.55,209.82,50894
19-06-2000,209.55,208.5,210.4,207,207.5,207.55,208.76,42065
20-06-2000,207.55,209.75,224,207.3,213.6,213.85,212.57,174729
21-06-2000,213.85,216.5,217.9,210.4,212,212.9,213.67,71102
22-06-2000,212.9,212,217.5,211,215.1,215,214.57,71160
23-06-2000,215,216.35,218.75,213,214.5,214.7,215.3,62910
26-06-2000,214.7,213,213.15,209.75,210.25,210.6,211.11,28147
27-06-2000,210.6,212,213,208.5,212.85,211.85,211,69225
28-06-2000,211.85,213,213,209.25,211.25,211.1,210.68,62900
29-06-2000,211.1,213.5,213.5,210,212.5,212.8,211.99,35067
30-06-2000,212.8,209.5,213.95,209.5,211.5,211.5,211.33,26666
03-07-2000,211.5,210.2,234,210.1,224,222.6,223.04,144365
04-07-2000,222.6,226,229.9,221,226,225.75,226.16,87295
05-07-2000,225.75,229.6,232,223.1,226.5,225.2,229.07,106131
06-07-2000,225.2,223.25,225.95,221,224.5,224.3,223.43,34931
07-07-2000,224.3,225,225,212.15,214.9,214.65,217.87,63532
10-07-2000,214.65,217,217,210,211.05,211.3,211.29,54525
11-07-2000,211.3,212.5,213,203.25,208,206.9,209.62,106665
12-07-2000,206.9,210.8,211,208,208,208.6,209.34,70568
13-07-2000,208.6,210.9,214.5,206,206.5,207.25,209.47,43166
14-07-2000,207.25,205.25,208.45,198,205,207.45,205.77,187968
17-07-2000,207.45,207.9,209.35,203.8,209,208,207.26,145149
18-07-2000,208,205.5,210.95,202.6,210,209.5,207.79,270637
19-07-2000,209.5,208,212.95,205.4,206.05,206.65,209.48,116439
20-07-2000,206.65,205.5,206,191,198.3,197.8,198.99,105541
21-07-2000,197.8,195,205,192.1,203,201.95,199.94,167705
24-07-2000,201.95,196.05,202,193.15,201.5,200.2,196.05,173567
25-07-2000,200.2,198.5,203,194.05,200,200.15,199.39,140110
26-07-2000,200.15,201,204.5,199.05,200.1,200.15,200.31,64094
27-07-2000,200.15,198.1,201,197,200.5,200.65,199.15,24912
28-07-2000,200.65,200.5,202,200,200.75,201.05,200.87,37923
31-07-2000,201.05,199.9,202,196.25,199.5,199.45,199.08,20305
01-08-2000,199.45,200.4,200.9,199.35,200.05,199.85,199.77,50973
02-08-2000,199.85,200.9,200.9,197,199.2,199.35,199.02,25527
03-08-2000,199.35,200,207.4,195.2,206.25,206.25,204.25,66961
04-08-2000,206.25,206,206.5,203.15,206.4,205.9,205.14,37844
07-08-2000,205.9,205,209.8,190,206.15,206.75,202.74,84412
08-08-2000,206.75,206.5,216.7,204.15,214,210.25,209.83,64143
09-08-2000,210.25,211.1,213,207.1,209,208.7,209.53,25283
10-08-2000,208.7,209,210.95,206.1,206.45,206.45,208.38,16965
11-08-2000,206.45,208,208,201.25,203,203.1,204.47,17222
14-08-2000,203.1,203,206,201.25,202,202.25,202.4,30432
16-08-2000,202.25,202.5,210,202.1,209.9,209.3,207.14,45432
17-08-2000,209.3,210.2,211.5,207,207.3,207.6,208.58,25286
18-08-2000,207.6,206,208.6,204,206.5,207.2,205.71,33894
21-08-2000,207.2,205,207.45,199,201,200.25,201.21,36319
22-08-2000,200.25,203,203,196,199.95,199.9,199.71,152211
23-08-2000,199.9,200,202.8,199,199.5,200,200.02,104459
24-08-2000,200,200,201.8,196.2,197.15,197.7,197.61,19089
25-08-2000,197.7,197,198,191.1,193.3,194.85,194.86,51757
28-08-2000,194.85,196,200,191.5,197,199.1,195.51,78061
29-08-2000,199.1,195.25,197,193,194.5,193.8,194.68,37859
30-08-2000,193.8,196.7,200,193.85,196.95,197.25,196.71,86542
31-08-2000,197.25,197,198.4,194.5,195.35,194.9,195.56,15407
04-09-2000,194.9,195.55,198.85,195,197,196.5,196.63,33653
05-09-2000,196.5,195.55,207,195.55,204,203.25,202.65,134710
06-09-2000,203.25,204.9,208.9,198.05,199.05,198.7,203.66,122396
