Date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume
03-01-2000,656,694,708.5,675,708.5,708.5,701.81,562715
04-01-2000,708.5,714,729,694.3,710.65,712.35,714.16,712637
05-01-2000,712.35,716.25,758.9,660,731,726.2,732.43,1382149
06-01-2000,726.2,741,784.3,741,784.3,784.3,776.63,721618
07-01-2000,784.3,832.4,847.05,824,847.05,847.05,841.25,231209
10-01-2000,847.05,911.15,914.85,875,914.85,914.85,907.23,1219818
11-01-2000,914.85,902,952,866.1,877,883.7,908.61,2376154
12-01-2000,883.7,905,924,870.3,895,888.35,891.48,616366
13-01-2000,888.35,900,936,871,876.95,879.75,908.42,667073
14-01-2000,879.75,879.9,903.7,863.2,894,887.55,883.15,575381
17-01-2000,887.55,904.95,904.95,816.55,816.55,817.35,839.35,1763903
18-01-2000,817.35,806,830,796,826.5,821.35,816.85,807421
19-01-2000,821.35,830,848,801,822.1,826.1,832.91,426440
20-01-2000,826.1,830,830,778.7,785,786.1,798.47,485044
21-01-2000,786.1,785,845.9,785,830,831.55,825.3,1200922
24-01-2000,831.55,836,858,782.5,785,792.45,831.41,1546995
25-01-2000,792.45,780,780,729.05,730.5,729.55,735.14,1241015
27-01-2000,729.55,751,787.95,680,765,778.85,757.15,1868015
28-01-2000,778.85,767,767,716.55,716.55,719.2,738.09,1276603
31-01-2000,719.2,711,728,685,688,692.2,706.22,993321
01-02-2000,692.2,697,721.75,691,704,701.55,707.4,1154968
02-02-2000,701.55,720,732.7,712,714.95,714.05,722.27,600607
03-02-2000,714.05,721,726,705,709.95,709.1,715.57,357056
04-02-2000,709.1,713,719.8,691,699,695.5,703.28,438192
07-02-2000,695.5,708.5,751.15,708.5,751.15,747.3,741.06,967422
08-02-2000,747.3,761.1,798,756,763,763.25,775.9,969144
09-02-2000,763.25,784.4,824.35,772,824.35,824.35,816.02,677696
10-02-2000,824.35,890.3,890.3,890.3,890.3,890.3,890.3,20323
11-02-2000,890.3,961.55,961.55,961.55,961.55,961.55,961.55,43319
14-02-2000,961.55,998.4,1037,902,930,932.55,949.03,1122348
15-02-2000,932.55,925,1007.15,910,1007.15,1006.5,984.91,1468348
16-02-2000,1006.5,1029.6,1067,975,990,997.2,1004.21,1639575
17-02-2000,997.2,999,1054.9,992.05,1030,1030.1,1033.46,1924843
18-02-2000,1030.1,1035,1050,947.7,970,956.8,995.09,1091697
21-02-2000,956.8,990,1008,960,980,979.9,985.88,972386
22-02-2000,979.9,985,998.85,922.6,950,941.3,957.93,1088543
23-02-2000,941.3,951,999,866,866,866.05,905.64,714522
24-02-2000,866.05,866,880,811,860,842.7,840.14,595043
25-02-2000,842.7,868.7,868.7,801,810,810.15,831.94,342968
28-02-2000,810.15,820,838.85,786.1,802.45,803.5,813.72,333728
29-02-2000,803.5,810,819,739.25,739.25,746.85,782.16,1301851
01-03-2000,746.85,740.1,784,710,760,753.75,758.76,874568
02-03-2000,753.75,761,780,714.4,719,724.6,750.91,1069797
