Date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume
03-01-2000,207.7,205,214.4,205,214,213.45,209.91,9600
04-01-2000,213.45,201.5,209.7,201,209,206.55,206.26,17900
05-01-2000,206.55,201,223.1,200.5,223.1,223.1,215.46,27000
06-01-2000,223.1,234,234.9,217.6,217.6,219.3,223.42,35600
07-01-2000,219.3,223,223,213,215.7,215.75,215.19,11400
10-01-2000,215.75,205,218,205,210,209.5,208.14,40000
11-01-2000,209.5,210,210,194,200,195.1,203.75,29200
12-01-2000,195.1,204.95,209.8,200,202.7,202.2,205.03,16700
13-01-2000,202.2,202,202.95,198,200,198.85,200.19,45000
14-01-2000,198.85,194.1,197,193.1,195,194.4,195.29,32600
17-01-2000,194.4,195,195.5,193.25,195,195,194.4,25500
18-01-2000,195,193.95,193.95,185.2,187.5,186.4,189.08,37300
19-01-2000,186.4,191,194,191,192,192.15,192.69,49600
20-01-2000,192.15,192,194.45,192,192.6,192.4,192.72,18100
21-01-2000,192.4,185,194,185,190,190.75,191.62,15800
24-01-2000,190.75,190,192.5,187,191.7,191.85,190.5,18400
25-01-2000,191.85,188.25,192,187,189.5,189.3,189.26,17600
27-01-2000,189.3,192.9,204.45,191,204.45,204.45,198.2,21500
28-01-2000,204.45,207,209.9,197,205,205.4,203.98,22500
31-01-2000,205.4,215,215,205.5,209.9,209.7,208.16,57900
01-02-2000,209.7,206,216.9,201.3,216.8,215.1,209.96,46200
02-02-2000,215.1,220,224.7,214,214,214.65,216,39700
03-02-2000,214.65,211.5,215,209.45,211,209.7,211.23,13000
04-02-2000,209.7,215,215,203.25,212,212.1,209.12,17400
07-02-2000,212.1,215.95,222,208,217.35,216.5,215.54,29700
08-02-2000,216.5,212.1,220,207,208.05,209.8,213.15,36200
09-02-2000,209.8,214.95,214.95,209.15,212.45,212.75,212.17,9000
10-02-2000,212.75,205,210,204,206.5,206.6,206.88,23000
11-02-2000,206.6,199.1,200.05,190.1,194,191.45,195.1,29600
14-02-2000,191.45,194.9,194.9,188,189.4,189.45,190.06,10200
15-02-2000,189.45,190,191.4,175.5,177.25,177.9,182.13,16700
16-02-2000,177.9,188,189.95,185.1,188.9,186.25,187.75,11600
17-02-2000,186.25,188.5,188.5,185,185.5,186.65,186.64,7500
18-02-2000,186.65,174.55,186.95,174.55,183.25,183.25,181.28,7800
21-02-2000,183.25,179.1,182.5,178,179.1,179.3,179.45,10800
