,Fund Name,Returns,Rating,Latest NAV,Risk
0,Aditya Birla Sun Life Corporate Bond Fund,11.33,5.0,83.455,Below Average
1,Aditya Birla Sun Life Corporate Bond Fund - Direct Plan,11.5,5.0,84.187,Below Average
2,Axis Banking & PSU Debt Fund,10.01,5.0,"2,012.487",Below Average
3,Axis Banking & PSU Debt Fund - Direct Plan,10.34,5.0,"2,046.381",Below Average
4,DSP Corporate Bond Fund - Direct Plan,10.41,4.0,12.48,Average
5,DSP Corporate Bond Fund - Regular Plan,10.12,4.0,12.417,Average
6,HDFC Corporate Bond Fund,10.96,4.0,24.289,Average
7,HDFC Corporate Bond Fund - Direct Plan,11.17,4.0,24.496,Average
8,ICICI Prudential Corporate Bond Fund,10.69,4.0,22.07,Below Average
9,ICICI Prudential Corporate Bond Fund - Direct Plan,11.04,4.0,22.825,Below Average
10,IDFC Banking & PSU Debt Fund - Direct Plan,11.49,4.0,19.04,Above Average
11,IDFC Banking & PSU Debt Fund - Regular Plan,11.11,5.0,18.778,Above Average
12,Kotak Banking and PSU Debt Fund - Direct Plan,10.97,4.0,50.281,Average
13,Kotak Banking and PSU Debt Fund Regular Plan,10.6,4.0,49.219,Average
14,Kotak Corporate Bond Fund - Standard Plan,9.63,5.0,"2,829.372",Low
15,Kotak Corporate Bond Fund - Standard Plan - Direct Plan,9.94,5.0,"2,905.879",Low
16,LIC MF Banking & PSU Debt Fund,8.68,4.0,26.935,Low
17,LIC MF Banking & PSU Debt Fund - Direct Plan,9.27,5.0,28.318,Low
18,L&T Triple Ace Bond Fund,12.04,4.0,56.005,Above Average
19,Nippon India Banking & PSU Debt Fund,10.81,4.0,15.732,Average
20,Nippon India Banking & PSU Debt Fund - Direct Plan,11.33,4.0,15.987,Average
21,UTI Corporate Bond Fund - Direct Plan,11.93,4.0,12.485,Average
22,UTI Corporate Bond Fund - Regular Plan,11.64,4.0,12.403,Average
