Date,Price,Inflation,USD
2010-01-01,50606.80,11.9894,45.73
2010-01-04,51919.84,11.9894,45.73
2010-01-05,51944.69,11.9894,45.73
2010-01-06,51816.15,11.9894,45.73
2010-01-07,51680.67,11.9894,45.73
2010-01-08,51554.43,11.9894,45.73
2010-01-11,52271.25,11.9894,45.73
2010-01-12,52629.39,11.9894,45.73
2010-01-13,51408.23,11.9894,45.73
2010-01-14,51926.96,11.9894,45.73
2010-01-15,51645.47,11.9894,45.73
2010-01-18,51778.58,11.9894,45.73
2010-01-19,51880.06,11.9894,45.73
2010-01-20,51464.27,11.9894,45.73
2010-01-21,51023.82,11.9894,45.73
2010-01-22,49972.39,11.9894,45.73
2010-01-25,50518.41,11.9894,45.73
2010-01-26,50426.16,11.9894,45.73
2010-01-27,50763.55,11.9894,45.73
2010-01-28,50434.24,11.9894,45.73
2010-01-29,49794.34,11.9894,45.73
2010-02-01,50386.44,11.9894,45.73
2010-02-02,51344.86,11.9894,45.73
2010-02-03,51273.61,11.9894,45.73
2010-02-04,50105.72,11.9894,45.73
2010-02-05,49435.04,11.9894,45.73
2010-02-08,49800.51,11.9894,45.73
2010-02-09,49979.17,11.9894,45.73
2010-02-10,49721.04,11.9894,45.73
2010-02-11,49964.89,11.9894,45.73
2010-02-12,50231.84,11.9894,45.73
2010-02-15,50876.43,11.9894,45.73
2010-02-16,51535.69,11.9894,45.73
2010-02-17,51591.49,11.9894,45.73
2010-02-18,51735.44,11.9894,45.73
2010-02-19,51525.88,11.9894,45.73
2010-02-22,51541.27,11.9894,45.73
2010-02-23,51193.21,11.9894,45.73
2010-02-24,51107.50,11.9894,45.73
2010-02-25,50790.27,11.9894,45.73
2010-02-26,51095.86,11.9894,45.73
2010-03-01,51360.97,11.9894,45.73
2010-03-02,51835.90,11.9894,45.73
2010-03-03,52080.11,11.9894,45.73
2010-03-04,51977.10,11.9894,45.73
2010-03-05,51761.67,11.9894,45.73
2010-03-08,51249.76,11.9894,45.73
2010-03-09,50906.09,11.9894,45.73
2010-03-10,50848.28,11.9894,45.73
2010-03-11,50358.95,11.9894,45.73
2010-03-12,50262.47,11.9894,45.73
2010-03-15,50337.23,11.9894,45.73
2010-03-16,51215.48,11.9894,45.73
2010-03-17,50826.49,11.9894,45.73
2010-03-18,51028.98,11.9894,45.73
2010-03-19,50305.77,11.9894,45.73
2010-03-22,50023.62,11.9894,45.73
2010-03-23,50225.63,11.9894,45.73
2010-03-24,49735.46,11.9894,45.73
2010-03-25,49736.95,11.9894,45.73
2010-03-26,49600.16,11.9894,45.73
2010-03-29,49793.19,11.9894,45.73
2010-03-30,49914.63,11.9894,45.73
2010-03-31,50080.36,11.9894,45.73
2010-04-01,50439.52,11.9894,45.73
2010-04-02,50439.52,11.9894,45.73
2010-04-05,49928.33,11.9894,45.73
2010-04-06,50356.39,11.9894,45.73
2010-04-07,50870.39,11.9894,45.73
2010-04-08,51040.07,11.9894,45.73
2010-04-09,51038.45,11.9894,45.73
2010-04-12,51512.22,11.9894,45.73
2010-04-13,51068.41,11.9894,45.73
2010-04-14,51313.02,11.9894,45.73
2010-04-15,51305.97,11.9894,45.73
2010-04-16,51034.47,11.9894,45.73
2010-04-19,50830.13,11.9894,45.73
2010-04-20,50935.65,11.9894,45.73
2010-04-21,50926.36,11.9894,45.73
2010-04-22,50491.54,11.9894,45.73
2010-04-23,50627.98,11.9894,45.73
2010-04-26,51254.01,11.9894,45.73
2010-04-27,51089.52,11.9894,45.73
2010-04-28,51832.83,11.9894,45.73
2010-04-29,51943.70,11.9894,45.73
2010-04-30,52311.51,11.9894,45.73
2010-05-03,52500.20,11.9894,45.73
2010-05-04,52868.76,11.9894,45.73
2010-05-05,52355.09,11.9894,45.73
2010-05-06,53703.67,11.9894,45.73
2010-05-07,54678.32,11.9894,45.73
2010-05-10,53663.01,11.9894,45.73
2010-05-11,55354.80,11.9894,45.73
2010-05-12,55829.80,11.9894,45.73
2010-05-13,55780.31,11.9894,45.73
2010-05-14,55908.34,11.9894,45.73
2010-05-17,56380.13,11.9894,45.73
2010-05-18,55477.70,11.9894,45.73
2010-05-19,55406.16,11.9894,45.73
2010-05-20,55803.46,11.9894,45.73
2010-05-21,55383.35,11.9894,45.73
2010-05-24,55759.31,11.9894,45.73
2010-05-25,57162.50,11.9894,45.73
2010-05-26,57321.54,11.9894,45.73
2010-05-27,57274.24,11.9894,45.73
2010-05-28,55961.57,11.9894,45.73
2010-05-31,55985.73,11.9894,45.73
2010-06-01,57894.55,11.9894,45.73
2010-06-02,57086.76,11.9894,45.73
2010-06-03,56691.89,11.9894,45.73
2010-06-04,56389.99,11.9894,45.73
2010-06-07,57214.35,11.9894,45.73
2010-06-08,58474.77,11.9894,45.73
2010-06-09,57993.00,11.9894,45.73
2010-06-10,57167.70,11.9894,45.73
2010-06-11,57132.58,11.9894,45.73
2010-06-14,56898.25,11.9894,45.73
2010-06-15,57029.87,11.9894,45.73
2010-06-16,57496.83,11.9894,45.73
2010-06-17,57649.72,11.9894,45.73
2010-06-18,57958.11,11.9894,45.73
2010-06-21,57399.63,11.9894,45.73
2010-06-22,57158.81,11.9894,45.73
2010-06-23,56633.62,11.9894,45.73
2010-06-24,57479.44,11.9894,45.73
2010-06-25,58028.84,11.9894,45.73
2010-06-28,58264.49,11.9894,45.73
2010-06-29,57385.71,11.9894,45.73
2010-06-30,57777.57,11.9894,45.73
2010-07-01,57485.88,11.9894,45.73
2010-07-02,56188.15,11.9894,45.73
2010-07-05,56504.19,11.9894,45.73
2010-07-06,56051.47,11.9894,45.73
2010-07-07,56106.60,11.9894,45.73
2010-07-08,55927.39,11.9894,45.73
2010-07-09,56406.31,11.9894,45.73
2010-07-12,56375.21,11.9894,45.73
2010-07-13,56841.91,11.9894,45.73
2010-07-14,56366.90,11.9894,45.73
2010-07-15,56310.91,11.9894,45.73
2010-07-16,55633.11,11.9894,45.73
2010-07-19,55642.80,11.9894,45.73
2010-07-20,56020.96,11.9894,45.73
2010-07-21,56197.09,11.9894,45.73
2010-07-22,56526.44,11.9894,45.73
2010-07-23,55876.11,11.9894,45.73
2010-07-26,55683.66,11.9894,45.73
2010-07-27,54493.04,11.9894,45.73
2010-07-28,54101.31,11.9894,45.73
2010-07-29,54099.83,11.9894,45.73
2010-07-30,54247.44,11.9894,45.73
2010-08-02,54962.18,11.9894,45.73
2010-08-03,54820.93,11.9894,45.73
2010-08-04,55374.91,11.9894,45.73
2010-08-05,55075.61,11.9894,45.73
2010-08-06,55743.70,11.9894,45.73
2010-08-09,55488.38,11.9894,45.73
2010-08-10,55337.96,11.9894,45.73
2010-08-11,56302.86,11.9894,45.73
2010-08-12,56732.00,11.9894,45.73
2010-08-13,56784.40,11.9894,45.73
2010-08-16,57259.79,11.9894,45.73
2010-08-17,57186.76,11.9894,45.73
2010-08-18,56716.15,11.9894,45.73
2010-08-19,57437.91,11.9894,45.73
2010-08-20,57106.85,11.9894,45.73
2010-08-23,57217.42,11.9894,45.73
2010-08-24,57348.45,11.9894,45.73
2010-08-25,58044.94,11.9894,45.73
2010-08-26,57947.25,11.9894,45.73
2010-08-27,57933.84,11.9894,45.73
2010-08-30,57946.20,11.9894,45.73
2010-08-31,58611.83,11.9894,45.73
2010-09-01,58348.66,11.9894,45.73
2010-09-02,58336.15,11.9894,45.73
2010-09-03,57801.08,11.9894,45.73
2010-09-06,58115.97,11.9894,45.73
2010-09-07,58859.88,11.9894,45.73
2010-09-08,58546.37,11.9894,45.73
2010-09-09,58313.57,11.9894,45.73
2010-09-10,57918.62,11.9894,45.73
2010-09-13,57703.77,11.9894,45.73
2010-09-14,58782.47,11.9894,45.73
2010-09-15,58712.78,11.9894,45.73
2010-09-16,58719.50,11.9894,45.73
2010-09-17,58457.48,11.9894,45.73
2010-09-20,58455.32,11.9894,45.73
2010-09-21,58238.80,11.9894,45.73
2010-09-22,58964.19,11.9894,45.73
2010-09-23,58916.27,11.9894,45.73
2010-09-24,58695.72,11.9894,45.73
2010-09-27,58377.96,11.9894,45.73
2010-09-28,58430.57,11.9894,45.73
2010-09-29,58752.51,11.9894,45.73
2010-09-30,58730.04,11.9894,45.73
2010-10-01,58540.21,11.9894,45.73
2010-10-04,58555.81,11.9894,45.73
2010-10-05,59420.11,11.9894,45.73
2010-10-06,59912.51,11.9894,45.73
2010-10-07,59449.00,11.9894,45.73
2010-10-08,59596.12,11.9894,45.73
2010-10-11,60026.86,11.9894,45.73
2010-10-12,60230.74,11.9894,45.73
2010-10-13,60785.23,11.9894,45.73
2010-10-14,60567.19,11.9894,45.73
2010-10-15,60327.25,11.9894,45.73
2010-10-18,60658.03,11.9894,45.73
2010-10-19,59391.34,11.9894,45.73
2010-10-20,59377.94,11.9894,45.73
2010-10-21,59517.03,11.9894,45.73
2010-10-22,58970.27,11.9894,45.73
2010-10-25,59324.81,11.9894,45.73
2010-10-26,59082.96,11.9894,45.73
2010-10-27,58874.02,11.9894,45.73
2010-10-28,59380.75,11.9894,45.73
2010-10-29,59829.35,11.9894,45.73
2010-11-01,60234.60,11.9894,45.73
2010-11-02,59943.86,11.9894,45.73
2010-11-03,59679.65,11.9894,45.73
2010-11-04,61060.91,11.9894,45.73
2010-11-05,61702.03,11.9894,45.73
2010-11-08,61684.10,11.9894,45.73
2010-11-09,62971.60,11.9894,45.73
2010-11-10,61606.09,11.9894,45.73
2010-11-11,61974.51,11.9894,45.73
2010-11-12,62124.95,11.9894,45.73
2010-11-15,61897.25,11.9894,45.73
2010-11-16,61129.92,11.9894,45.73
2010-11-17,60608.80,11.9894,45.73
2010-11-18,61065.04,11.9894,45.73
2010-11-19,60808.54,11.9894,45.73
2010-11-22,61598.65,11.9894,45.73
2010-11-23,62776.11,11.9894,45.73
2010-11-24,62723.25,11.9894,45.73
2010-11-25,62510.32,11.9894,45.73
2010-11-26,62119.96,11.9894,45.73
2010-11-29,62333.79,11.9894,45.73
2010-11-30,63481.89,11.9894,45.73
2010-12-01,62867.06,11.9894,45.73
2010-12-02,62893.92,11.9894,45.73
2010-12-03,63311.86,11.9894,45.73
2010-12-06,63636.71,11.9894,45.73
2010-12-07,63395.88,11.9894,45.73
2010-12-08,62458.32,11.9894,45.73
2010-12-09,62905.36,11.9894,45.73
2010-12-10,61961.88,11.9894,45.73
