,Fund Name,Rating,1(%),1Returns,3(%),3Returns,5(%),5Returns,10(%),10Returns
1,Aditya Birla Sun Life Tax Relief 96 - Direct Plan,4,20.82,"1,32,025",5.63,"3,91,234",8.52,"7,41,201",0,0
2,Aditya Birla Sun Life Tax Relief 96,4,19.73,"1,31,411",4.62,"3,85,480",7.41,"7,21,188",12.51,"22,91,774"
3,Axis Long Term Equity Fund - Direct Plan,5,9.51,"1,25,584",6.47,"3,96,017",9.52,"7,59,546",0,0
4,Axis Long Term Equity Fund,5,8.67,"1,25,099",5.55,"3,90,766",8.47,"7,40,184",14.37,"25,29,738"
5,BOI AXA Tax Advantage Fund - Direct Plan,5,37.25,"1,41,041",12.88,"4,34,027",13.08,"8,28,703",0,0
6,BOI AXA Tax Advantage Fund - Regular Plan,5,35.83,"1,40,274",11.67,"4,26,709",11.73,"8,01,813",12.55,"22,96,156"
7,Canara Robeco Equity Tax Saver Fund - Direct Plan,5,28.8,"1,36,450",11.92,"4,28,179",12.08,"8,08,819",0,0
8,Canara Robeco Equity Tax Saver Fund - Regular Plan,5,27.63,"1,35,806",10.91,"4,22,127",11.12,"7,89,944",12.05,"22,35,778"
9,DSP Tax Saver Fund - Direct Plan,4,13.54,"1,27,903",5.11,"3,88,297",7.86,"7,29,188",0,0
10,DSP Tax Saver Fund,4,12.52,"1,27,321",4.12,"3,82,693",6.76,"7,09,710",11.94,"22,22,941"
11,Invesco India Tax Plan - Direct Plan,4,21.23,"1,32,254",7.66,"4,02,941",9.97,"7,68,012",0,0
12,Invesco India Tax Plan,4,19.96,"1,31,542",6.35,"3,95,356",8.43,"7,39,606",12.62,"23,04,055"
13,JM Tax Gain Fund - Direct Plan,4,15.84,"1,29,215",5.72,"3,91,762",8.91,"7,48,351",0,0
14,JM Tax Gain Fund,4,15.02,"1,28,750",4.95,"3,87,388",7.9,"7,29,977",11.4,"21,60,906"
15,Mirae Asset Tax Saver Fund - Direct Plan,5,28.4,"1,36,227",10.87,"4,21,906",0,0,0,0
16,Mirae Asset Tax Saver Fund - Regular Plan,5,26.56,"1,35,217",9.24,"4,12,206",0,0,0,0
17,Motilal Oswal Long Term Equity Fund - Direct Plan,4,3.62,"1,22,145",0.37,"3,62,016",5.95,"6,95,629",0,0
18,Motilal Oswal Long Term Equity Fund - Regular Plan,4,2.25,"1,21,339",-0.92,"3,55,034",4.49,"6,70,876",0,0
19,Quant Tax Plan - Direct Plan,4,62.05,"1,54,024",17.44,"4,62,492",15.01,"8,68,388",0,0
20,Quant Tax Plan,4,59.34,"1,52,639",15.96,"4,53,161",13.96,"8,46,685",14.32,"25,22,373"
21,Tata India Tax Savings Fund - Direct Plan,4,14.51,"1,28,460",4.61,"3,85,435",7.87,"7,29,457",0,0
22,Tata India Tax Savings Fund,4,12.94,"1,27,562",3.12,"3,77,072",6.38,"7,03,115",11.75,"22,01,076"
23,Taurus Tax Shield Fund - Direct Plan,4,17.96,"1,30,428",4.7,"3,85,955",8.04,"7,32,491",0,0
24,Taurus Tax Shield Fund - Regular Plan,4,16.9,"1,29,827",3.91,"3,81,526",7.24,"7,18,259",9.59,"19,63,862"
