,Fund Name,Rating,1(%),1Returns,3(%),3Returns,5(%),5Returns,10(%),10Returns
1,Aditya Birla Sun Life Liquid Fund - Direct Plan,4,4.65,"1,22,766",6.06,"3,93,747",6.49,"7,05,016",0,0
2,Aditya Birla Sun Life Liquid Fund,4,4.55,"1,22,704",5.96,"3,93,174",6.39,"7,03,332",7.38,"17,49,746"
3,Axis Liquid Fund - Direct Plan,4,4.54,"1,22,701",5.99,"3,93,319",6.44,"7,04,208",0,0
4,Axis Liquid Fund,4,4.48,"1,22,662",5.93,"3,92,972",6.38,"7,03,094",7.35,"17,47,192"
5,Baroda Liquid Fund,4,4.27,"1,22,539",5.84,"3,92,445",6.32,"7,02,147",7.34,"17,46,316"
6,BNP Paribas Liquid Fund,4,4.28,"1,22,541",5.84,"3,92,474",6.3,"7,01,684",7.28,"17,41,166"
7,BNP Paribas Liquid Fund - Direct Plan,4,4.39,"1,22,605",5.97,"3,93,195",6.42,"7,03,798",0,0
8,Edelweiss Liquid Fund - Direct Plan,5,4.56,"1,22,711",6.05,"3,93,636",6.42,"7,03,766",0,0
9,Franklin India Liquid Fund - Direct Plan,5,4.64,"1,22,759",6.15,"3,94,238",6.55,"7,06,128",0,0
10,Franklin India Liquid Fund - Super Institutional Plan,5,4.56,"1,22,710",6.08,"3,93,826",6.48,"7,04,916",7.45,"17,56,515"
11,ICICI Prudential Liquid Fund - Direct Plan,4,4.62,"1,22,747",6,"3,93,369",6.42,"7,03,866",0,
12,ICICI Prudential Liquid Fund,4,4.51,"1,22,679",5.9,"3,92,841",6.34,"7,02,461",7.33,"17,45,504"
13,IDBI Liquid Fund - Direct Plan,5,4.81,"1,22,861",6.13,"3,94,142",6.52,"7,05,627",0,0
14,IDBI Liquid Fund,5,4.77,"1,22,836",6.05,"3,93,673",6.43,"7,03,943",7.33,"17,45,714"
15,LIC MF Liquid Fund - Direct Plan,4,4.63,"1,22,752",6,"3,93,413",6.44,"7,04,205",0,0
16,Mahindra Manulife Liquid Fund - Direct Plan,4,4.62,"1,22,748",6.07,"3,93,805",0,0,0,0
17,Mahindra Manulife Liquid Fund - Regular Plan,4,4.51,"1,22,680",5.95,"3,93,108",0,0,0,0
18,Nippon India Liquid Fund - Direct Plan,4,4.6,"1,22,733",6.05,"3,93,649",6.48,"7,04,852",0,0
19,Nippon India Liquid Fund,5,4.49,"1,22,672",5.95,"3,93,111",6.39,"7,03,267",7.36,"17,47,984"
20,PGIM India Insta Cash Fund,4,4.43,"1,22,634",5.92,"3,92,935",6.37,"7,03,040",7.35,"17,47,034"
21,PGIM India Insta Cash Fund - Direct Plan,4,4.62,"1,22,743",6.05,"3,93,647",6.47,"7,04,772",0,0
22,Quant Liquid - Direct Plan,5,5.36,"1,23,174",6.58,"3,96,683",6.82,"7,10,890",0,0
23,Quant Liquid Plan,5,4.99,"1,22,959",6.24,"3,94,773",6.57,"7,06,450",7.65,"17,74,320"
24,Tata Liquid Fund - Direct Plan,4,4.64,"1,22,756",6.02,"3,93,528",6.45,"7,04,407",0,0
25,Tata Liquid Fund - Regular Plan,4,4.52,"1,22,684",5.92,"3,92,915",6.36,"7,02,805",7.36,"17,47,711"
26,UTI Liquid Cash Fund - Regular Plan,4,4.38,"1,22,604",5.86,"3,92,608",6.33,"7,02,251",7.31,"17,43,112"
