,Fund Name,Rating,1(%),1Returns,3(%),3Returns,5(%),5Returns,10(%),10Returns
1,BNP Paribas Substantial Equity Hybrid Fund - Direct Plan,5,13.5,"1,27,878",10.1,"4,17,274",0,0,0,0
2,BNP Paribas Substantial Equity Hybrid Fund - Regular Plan,5,11.67,"1,26,830",8.42,"4,07,333",0,0,0,0
3,Canara Robeco Equity Hybrid Fund - Direct Plan,5,19.18,"1,31,104",10.22,"4,18,002",10.82,"7,84,196",0,0
4,Canara Robeco Equity Hybrid Fund - Regular Plan,5,17.89,"1,30,377",8.97,"4,10,573",9.5,"7,59,169",11.87,"22,14,510"
5,DSP Equity & Bond Fund - Direct Plan,4,13.02,"1,27,608",7.46,"4,01,740",8.69,"7,44,262",0,0
6,DSP Equity & Bond Fund,4,11.97,"1,27,003",6.41,"3,95,716",7.57,"7,23,996",10.54,"20,64,424"
7,HDFC Children's Gift Fund - Direct Plan,4,21.26,"1,32,272",7.2,"4,00,257",8.95,"7,49,074",0,0
8,HDFC Children's Gift Fund,4,20.29,"1,31,726",6.29,"3,94,999",7.96,"7,30,986",11.65,"21,89,249"
9,HDFC Retirement Savings Fund - Hybrid Equity Plan - Direct Plan,4,17.82,"1,30,334",6.64,"3,97,046",0,0,0,0
10,HDFC Retirement Savings Fund - Hybrid Equity Plan - Regular Plan,4,16.49,"1,29,581",5.31,"3,89,428",0,0,0,0
11,Mirae Asset Hybrid Equity Fund - Direct Plan,5,17.22,"1,29,995",8.3,"4,06,634",10.33,"7,74,839",0,0
12,Mirae Asset Hybrid Equity Fund - Regular Plan,4,15.55,"1,29,048",6.65,"3,97,071",8.51,"7,40,967",0,0
13,Principal Hybrid Equity Fund - Direct Plan,4,15.78,"1,29,179",3.8,"3,80,871",7.75,"7,27,215",0,0
14,Principal Hybrid Equity Fund,4,14.42,"1,28,408",2.58,"3,74,098",6.43,"7,03,925",10.25,"20,33,860"
15,SBI Equity Hybrid Fund - Direct Plan,5,9.03,"1,25,308",6.21,"3,94,542",8.33,"7,37,627",0,0
16,SBI Equity Hybrid Fund,5,8.33,"1,24,904",5.47,"3,90,317",7.42,"7,21,365",11.5,"21,71,803"
17,Sundaram Equity Hybrid Fund - Direct Plan,4,10.97,"1,26,426",6.06,"3,93,716",8.25,"7,36,266",0,0
18,Sundaram Equity Hybrid Fund - Regular Plan,4,9.86,"1,25,789",4.9,"3,87,111",7.02,"7,14,314",8.09,"18,15,357"
19,Tata Retirement Savings Fund - Moderate Plan - Direct Plan,4,20.38,"1,31,777",7.9,"4,04,345",10.08,"7,70,194",0,0
20,Tata Retirement Savings Fund - Moderate Plan - Regular Plan,4,18.72,"1,30,846",6.39,"3,95,602",8.59,"7,42,400",0,0
