Fund Name,3Yr,5Yr,10Yr,15Yr,20Yr
Aditya Birla Sun Life Asset Allocator Multi-Manager FoF Scheme,8.82,8.52,9.77,0.0,0.0
Aditya Birla Sun Life Asset Allocator Multi-Manager FoF Scheme - Direct Plan,9.2,8.82,0.0,0.0,0.0
Aditya Birla Sun Life Balanced Advantage Fund,5.66,6.75,9.0,9.05,10.97
Aditya Birla Sun Life Balanced Advantage Fund - Direct Plan,6.78,7.9,0.0,0.0,0.0
Axis Dynamic Equity Fund - Direct Plan,4.86,0.0,0.0,0.0,0.0
Axis Dynamic Equity Fund - Regular Plan,3.4,0.0,0.0,0.0,0.0
Baroda Dynamic Equity Fund - Direct Plan,0.0,0.0,0.0,0.0,0.0
Baroda Dynamic Equity Fund - Regular Plan,0.0,0.0,0.0,0.0,0.0
BNP Paribas Dynamic Equity Fund - Direct Plan,0.0,0.0,0.0,0.0,0.0
BNP Paribas Dynamic Equity Fund - Regular Plan,0.0,0.0,0.0,0.0,0.0
BOI AXA Equity Debt Rebalancer Fund - Direct Plan,1.63,2.69,0.0,0.0,0.0
BOI AXA Equity Debt Rebalancer Fund - Regular Plan,1.01,2.05,0.0,0.0,0.0
DSP Dynamic Asset Allocation Fund - Direct Plan,9.23,8.75,0.0,0.0,0.0
DSP Dynamic Asset Allocation Fund - Regular Plan,7.5,7.23,0.0,0.0,0.0
Edelweiss Balanced Advantage Fund - Direct Plan,11.17,10.45,0.0,0.0,0.0
Edelweiss Balanced Advantage Fund - Regular Plan,9.66,9.11,9.62,0.0,0.0
Franklin India Dynamic Asset Allocation Fund of Funds,-6.3,-1.28,4.44,6.97,0.0
Franklin India Dynamic Asset Allocation Fund of Funds - Direct Plan,-5.31,-0.18,0.0,0.0,0.0
HDFC Balanced Advantage Fund,-1.55,3.58,7.86,9.77,15.41
HDFC Balanced Advantage Fund - Direct Plan,-0.87,4.35,0.0,0.0,0.0
ICICI Prudential Balanced Advantage Fund,7.07,7.73,10.56,0.0,0.0
ICICI Prudential Balanced Advantage Fund - Direct Plan,7.8,8.7,0.0,0.0,0.0
IDFC Dynamic Equity Fund - Direct Plan,9.67,9.28,0.0,0.0,0.0
IDFC Dynamic Equity Fund - Regular Plan,8.23,7.84,0.0,0.0,0.0
Invesco India Dynamic Equity Fund,2.65,5.29,9.07,0.0,0.0
Invesco India Dynamic Equity Fund - Direct Plan,3.88,6.68,0.0,0.0,0.0
ITI Balanced Advantage Fund - Direct Plan,0.0,0.0,0.0,0.0,0.0
ITI Balanced Advantage Fund - Regular Plan,0.0,0.0,0.0,0.0,0.0
Kotak Balanced Advantage Fund - Direct Plan,0.0,0.0,0.0,0.0,0.0
Kotak Balanced Advantage Fund - Regular Plan,0.0,0.0,0.0,0.0,0.0
L&T Balanced Advantage Fund,8.9,7.86,0.0,0.0,0.0
L&T Balanced Advantage Fund - Direct Plan,10.2,9.13,0.0,0.0,0.0
Motilal Oswal Dynamic Fund - Direct Plan,7.86,0.0,0.0,0.0,0.0
Motilal Oswal Dynamic Fund - Regular Plan,6.63,0.0,0.0,0.0,0.0
Nippon India Balanced Advantage Fund,5.12,6.97,9.73,11.02,0.0
Nippon India Balanced Advantage Fund - Direct Plan,6.46,8.17,0.0,0.0,0.0
Principal Balanced Advantage Fund,4.48,5.03,0.0,0.0,0.0
Principal Balanced Advantage Fund - Direct Plan,5.91,6.46,0.0,0.0,0.0
SBI Dynamic Asset Allocation Fund - Direct Plan,4.55,6.28,0.0,0.0,0.0
SBI Dynamic Asset Allocation Fund - Regular Plan,3.36,5.16,0.0,0.0,0.0
Shriram Balanced Advantage Fund - Direct Plan,0.0,0.0,0.0,0.0,0.0
Shriram Balanced Advantage Fund - Regular Plan,0.0,0.0,0.0,0.0,0.0
Sundaram Balanced Advantage Fund - Direct Plan,0.0,0.0,0.0,0.0,0.0
Sundaram Balanced Advantage Fund - Regular Plan,0.0,0.0,0.0,0.0,0.0
Tata Balanced Advantage Fund - Direct Plan,0.0,0.0,0.0,0.0,0.0
Tata Balanced Advantage Fund - Regular Plan,0.0,0.0,0.0,0.0,0.0
Union Balanced Advantage Fund - Direct Plan,0.0,0.0,0.0,0.0,0.0
Union Balanced Advantage Fund - Regular Plan,0.0,0.0,0.0,0.0,0.0
UTI Unit Linked Insurance Plan,2.99,4.46,7.12,8.31,0.0
UTI Unit Linked Insurance Plan - Direct Plan,3.67,5.12,0.0,0.0,0.0
