,Fund Name,3Yr,5Yr,10Yr,15Yr,20Yr
1,Aditya Birla Sun Life Credit Risk Fund - Direct Plan,6.21,7.01,--,--,--
2,Aditya Birla Sun Life Credit Risk Fund - Regular Plan,5.27,6,--,--,--
3,Axis Credit Risk Fund - Direct Plan,7.29,7.48,--,--,--
4,Axis Credit Risk Fund - Regular Plan,6.06,6.19,--,--,--
5,Baroda Credit Risk Fund- Plan A,1.47,3.55,--,--,--
6,Baroda Credit Risk Fund- Plan B Direct,2.33,4.54,--,--,--
7,BOI AXA Credit Risk Fund - Regular Plan,-44.49,-34.43,--,--,--
8,BOI AXA Credit Riskm Fund - Direct Plan,-44.34,-34.25,--,--,--
9,DSP Credit Risk Fund,1.91,2.86,5.6,6.27,--
10,DSP Credit Risk Fund - Direct Plan,2.71,3.63,--,--,--
11,Franklin India Credit Risk Fund,-0.44,2.5,--,--,--
12,Franklin India Credit Risk Fund - Direct Plan,0.24,3.25,--,--,--
13,HDFC Credit Risk Debt Fund - Direct Plan,8.92,8.55,--,--,--
14,HDFC Credit Risk Debt Fund - Regular Plan,8.38,7.87,--,--,--
15,ICICI Prudential Credit Risk Fund,8.91,8.37,--,--,--
16,ICICI Prudential Credit Risk Fund - Direct Plan,9.64,9.2,--,--,--
17,IDBI Credit Risk Fund - Direct Plan,-4.12,-0.72,--,--,--
18,IDBI Credit Risk Fund - Regular Plan,-4.8,-1.57,--,--,--
19,IDFC Credit Risk Fund - Direct Plan,8.23,--,--,--,--
20,IDFC Credit Risk Fund - Regular Plan,7.23,--,--,--,--
21,Invesco India Credit Risk Fund - Direct Plan,4.28,4.68,--,--,--
22,Invesco India Credit Risk Fund - Regular Plan,3.21,3.69,--,--,--
23,Kotak Credit Risk Fund - Direct Plan,8.43,8.39,--,--,--
24,Kotak Credit Risk Fund Regular Plan,7.42,7.37,8.16,--,--
25,L&T Credit Risk Fund,3.34,4.47,6.57,--,--
26,L&T Credit Risk Fund - Direct Plan,4.21,5.26,--,--,--
27,Mahindra Manulife Credit Risk Fund - Direct Plan,--,--,--,--,--
28,Mahindra Manulife Credit Risk Fund - Regular Plan,--,--,--,--,--
29,Nippon India Credit Risk Fund,-3.19,0.19,4.39,5.45,--
30,Nippon India Credit Risk Fund - Direct Plan,-2.52,0.97,--,--,--
31,PGIM India Credit Risk Fund - Direct Plan,0.13,2.81,--,--,--
32,PGIM India Credit Risk Fund - Regular Plan,-0.96,1.68,--,--,--
33,PGIM India Credit Risk Fund - Segregated Plan 1 - Direct Plan,--,--,--,--,--
34,PGIM India Credit Risk Fund - Segregated Plan 1 - Regular Plan,--,--,--,--,--
35,PGIM India Credit Risk Fund - Segregated Plan 2 - Direct Plan,--,--,--,--,--
36,PGIM India Credit Risk Fund - Segregated Plan 2 - Regular Plan,--,--,--,--,--
37,SBI Credit Risk Fund,7.53,7.35,8.37,8.26,--
38,SBI Credit Risk Fund - Direct Plan,8.23,8.1,--,--,--
39,Sundaram Short Term Credit Risk Fund,0.96,2.45,5.1,5.27,--
40,Sundaram Short Term Credit Risk Fund Direct,1.69,3.38,--,--,--
41,UTI Credit Risk Fund - Direct Plan,-18.32,-10.13,--,--,--
42,UTI Credit Risk Fund - Regular Plan,-19.11,-11.11,--,--,--
