Fund Name,1Yr,3Yr,5Yr,10Yr,15Yr,20Yr
Aditya Birla Sun Life Credit Risk Fund - Direct Plan,3.81,6.21,7.01,0.0,0.0,0.0
Aditya Birla Sun Life Credit Risk Fund - Regular Plan,2.97,5.27,6.0,0.0,0.0,0.0
Aditya Birla Sun Life Credit Risk Fund - Segregated Portfolio 1 - Direct Plan,0.0,7.29,7.48,0.0,0.0,0.0
Aditya Birla Sun Life Credit Risk Fund - Segregated Portfolio 1 - Regular Plan,0.0,6.06,6.19,0.0,0.0,0.0
Axis Credit Risk Fund - Direct Plan,8.99,1.47,3.55,0.0,0.0,0.0
Axis Credit Risk Fund - Regular Plan,7.82,2.33,4.54,0.0,0.0,0.0
Baroda Credit Risk Fund- Plan A,-0.27,-44.49,-34.43,0.0,0.0,0.0
Baroda Credit Risk Fund Plan A - Segregated Portfolio 1,0.0,-44.34,-34.25,0.0,0.0,0.0
Baroda Credit Risk Fund- Plan B Direct,0.53,1.91,2.86,5.6,6.27,0.0
Baroda Credit Risk Fund Plan B - Segregated Portfolio 1 - Direct Plan,0.0,2.71,3.63,0.0,0.0,0.0
BOI AXA Credit Risk Fund - Regular Plan,-45.53,-0.44,2.5,0.0,0.0,0.0
BOI AXA Credit Riskm Fund - Direct Plan,-45.38,0.24,3.25,0.0,0.0,0.0
DSP Credit Risk Fund,4.19,8.92,8.55,0.0,0.0,0.0
DSP Credit Risk Fund - Direct Plan,4.99,8.38,7.87,0.0,0.0,0.0
Franklin India Credit Risk Fund,-6.22,8.91,8.37,0.0,0.0,0.0
Franklin India Credit Risk Fund - Direct Plan,-5.62,9.64,9.2,0.0,0.0,0.0
Franklin India Credit Risk Fund - Segregated Portfolio 2 - Direct Plan,0.0,-4.12,-0.72,0.0,0.0,0.0
Franklin India Credit Risk Fund - Segregated Portfolio 2 - Regular Plan,0.0,-4.8,-1.57,0.0,0.0,0.0
Franklin India Credit Risk Fund - Segregated Portfolio 3 - Direct Plan,0.0,8.23,0.0,0.0,0.0,0.0
Franklin India Credit Risk Fund - Segregated Portfolio 3 - Regular Plan,0.0,7.23,0.0,0.0,0.0,0.0
HDFC Credit Risk Debt Fund - Direct Plan,9.39,4.28,4.68,0.0,0.0,0.0
HDFC Credit Risk Debt Fund - Regular Plan,8.91,3.21,3.69,0.0,0.0,0.0
ICICI Prudential Credit Risk Fund,9.68,8.43,8.39,0.0,0.0,0.0
ICICI Prudential Credit Risk Fund - Direct Plan,10.32,7.42,7.37,8.16,0.0,0.0
IDBI Credit Risk Fund - Direct Plan,-8.74,3.34,4.47,6.57,0.0,0.0
IDBI Credit Risk Fund - Regular Plan,-9.3,4.21,5.26,0.0,0.0,0.0
IDFC Credit Risk Fund - Direct Plan,7.85,0.0,0.0,0.0,0.0,0.0
IDFC Credit Risk Fund - Regular Plan,6.9,0.0,0.0,0.0,0.0,0.0
Invesco India Credit Risk Fund - Direct Plan,9.37,-3.19,0.19,4.39,5.45,0.0
Invesco India Credit Risk Fund - Regular Plan,8.07,-2.52,0.97,0.0,0.0,0.0
Kotak Credit Risk Fund - Direct Plan,7.97,0.13,2.81,0.0,0.0,0.0
Kotak Credit Risk Fund Regular Plan,6.93,-0.96,1.68,0.0,0.0,0.0
L&T Credit Risk Fund,4.63,0.0,0.0,0.0,0.0,0.0
L&T Credit Risk Fund - Direct Plan,5.66,0.0,0.0,0.0,0.0,0.0
L&T Credit Risk Fund - Retail Plan,4.62,0.0,0.0,0.0,0.0,0.0
Mahindra Manulife Credit Risk Fund - Direct Plan,7.36,0.0,0.0,0.0,0.0,0.0
Mahindra Manulife Credit Risk Fund - Regular Plan,6.13,7.53,7.35,8.37,8.26,0.0
Nippon India Credit Risk Fund,-8.74,8.23,8.1,0.0,0.0,0.0
Nippon India Credit Risk Fund - Direct Plan,-8.16,0.96,2.45,5.1,5.27,0.0
Nippon India Credit Risk Fund - Institutional Plan,-8.54,1.69,3.38,0.0,0.0,0.0
Nippon India Credit Risk Fund - Segregated Portfolio 1 - Direct Plan,0.0,-18.32,-10.13,0.0,0.0,0.0
Nippon India Credit Risk Fund - Segregated Portfolio 1 - Institutional Plan,0.0,-19.11,-11.11,0.0,0.0,0.0
