,Fund Name,3Yr,5Yr,10Yr,15Yr,20Yr
1,Aditya Birla Sun Life Government Securities Fund,10.96,9.75,9.99,9.06,8.5
2,Aditya Birla Sun Life Government Securities Fund - Direct Plan,11.62,10.37,--,--,--
3,Axis Gilt Fund,11.39,9.27,--,--,--
4,Axis Gilt Fund - Direct Plan,11.91,9.79,--,--,--
5,Baroda Gilt Fund,9.01,7.78,8.28,8.4,--
6,Baroda Gilt Fund - Direct Plan,9.87,8.63,--,--,--
7,Canara Robeco Gilt Fund - Direct Plan,9.97,9.08,--,--,--
8,Canara Robeco Gilt Fund - Regular Plan,9.26,8.39,8.95,8.71,--
9,DSP Government Securities Fund,12.05,10.07,9.16,8.67,8.56
10,DSP Government Securities Fund - Direct Plan,12.75,10.78,--,--,--
11,Edelweiss Government Securities Fund - Direct Plan,11.67,10.12,--,--,--
12,Edelweiss Government Securities Fund - Regular Plan,11.15,9.6,--,--,--
13,Franklin India Government Securities Fund,7.96,6.64,7.47,7.57,--
14,Franklin India Government Securities Fund - Direct Plan,8.64,7.44,--,--,--
15,HDFC Gilt Fund,8.81,7.77,8.45,7.94,--
16,HDFC Gilt Fund - Direct Plan,9.24,8.2,--,--,--
17,ICICI Prudential Gilt Fund,10.97,9.59,9.39,9.19,9.07
18,ICICI Prudential Gilt Fund - Direct Plan,11.51,10.15,--,--,--
19,IDBI Gilt Fund,7.36,6.06,--,--,--
20,IDBI Gilt Fund - Direct Plan,8.25,7,--,--,--
21,IDFC Government Securities Fund - Investment Plan - Direct Plan,13.29,11.21,--,--,--
22,IDFC Government Securities Fund - Investment Plan - Regular Plan,12.63,10.57,10.15,--,--
23,Invesco India Gilt Fund,8.5,7.62,7.81,--,--
24,Invesco India Gilt Fund - Direct Plan,9.37,8.46,--,--,--
25,Kotak Gilt Investment - Direct Plan,11.67,10.07,--,--,--
26,Kotak Gilt Investment Provident Fund and Trust Plan,10.55,8.97,8.92,8.77,--
27,Kotak Gilt Investment Provident Fund and Trust Plan - Direct Plan,11.68,10.08,--,--,--
28,Kotak Gilt Investment - Regular Plan,10.55,8.97,8.9,8.72,8.54
29,LIC MF Government Securities Fund,10.61,8.97,8.36,7.46,7.08
30,LIC MF Government Securities Fund - Direct Plan,11.48,9.88,--,--,--
31,LIC MF Government Securities Fund - Provident Fund,10.61,8.98,8.38,7.48,--
32,LIC MF G-Sec Long Term Exchange Traded Fund,10.47,8.82,--,--,--
33,L&T Gilt Fund,9.28,8,9.09,8.43,7.92
34,L&T Gilt Fund - Direct Plan,10.65,9.41,--,--,--
35,Nippon India ETF Long Term Gilt,10.82,--,--,--,--
36,Nippon India Gilt Securities Fund,11.36,10.1,10.05,8.57,--
37,Nippon India Gilt Securities Fund - Direct Plan,12.4,11.18,--,--,--
38,Nippon India Gilt Securities PF,11.37,10.1,10.06,--,--
39,PGIM India Gilt Fund,9.27,8.32,8.41,--,--
40,PGIM India Gilt Fund - Direct Plan,9.94,8.9,--,--,--
41,SBI Magnum Gilt Fund,11.2,9.78,10.15,8.94,--
42,SBI Magnum Gilt Fund - Direct Plan,11.73,10.34,--,--,--
43,Tata Gilt Securities Fund - Direct Plan,9.89,8.77,--,--,--
44,Tata Gilt Securities Fund - Regular Plan,9.03,7.82,8.37,7.75,7.51
45,UTI Gilt Fund - Direct Plan,10.68,9.71,--,--,--
46,UTI Gilt Fund - Regular Plan,10.37,9.41,9.67,9.13,--
