,Fund Name,3Yr,5Yr,10Yr,15Yr,20Yr
1,Aditya Birla Sun Life Liquid Fund,5.95,6.38,7.37,7.57,--
2,Aditya Birla Sun Life Liquid Fund - Direct Plan,6.05,6.48,--,--,--
3,Axis Liquid Fund,5.91,6.37,7.34,--,--
4,Axis Liquid Fund - Direct Plan,5.97,6.43,--,--,--
5,Baroda Liquid Fund,5.82,6.31,7.34,--,--
6,Baroda Liquid Fund - Direct Plan,5.93,6.42,--,--,--
7,BNP Paribas Liquid Fund,5.84,6.29,7.28,7.48,--
8,BNP Paribas Liquid Fund - Direct Plan,5.96,6.41,--,--,--
9,BOI AXA Liquid Fund - Direct Plan,5.82,6.33,--,--,--
10,BOI AXA Liquid Fund - Regular Plan,5.73,6.24,7.19,--,--
11,BOI AXA Liquid - Unclaimed,--,--,--,--,--
12,Canara Robeco Liquid Fund - Direct Plan,5.48,6.04,--,--,--
13,Canara Robeco Liquid Fund - Regular Plan,5.45,6.01,7.12,--,--
14,DSP Liquid ETF - Regular Plan,--,--,--,--,--
15,DSP Liquidity Fund - Direct Plan,5.89,6.37,--,--,--
16,DSP Liquidity Fund - Regular Plan,5.79,6.26,7.26,--,--
17,Edelweiss Liquid Fund - Direct Plan,6.03,6.41,--,--,--
18,Edelweiss Liquid Fund - Regular Plan,5.81,6.23,7.17,--,--
19,Essel Liquid Fund,5.42,6.06,7.24,--,--
20,Essel Liquid Fund - Direct Plan,5.51,6.16,--,--,--
21,Franklin India Liquid Fund - Direct Plan,6.13,6.54,--,--,--
22,Franklin India Liquid Fund - Super Institutional Plan,6.06,6.47,7.45,7.62,--
23,HDFC Liquid Fund,5.74,6.2,7.23,7.41,--
24,HDFC Liquid Fund - Direct Plan,5.85,6.3,--,--,--
25,HSBC Cash Fund,5.78,6.27,--,--,--
26,HSBC Cash Fund - Direct Plan,5.88,6.35,--,--,--
27,ICICI Prudential Liquid ETF,--,--,--,--,--
28,ICICI Prudential Liquid Fund,5.89,6.33,7.33,--,--
29,ICICI Prudential Liquid Fund - Direct Plan,5.98,6.41,--,--,--
30,IDBI Liquid Fund,6.04,6.42,7.33,--,--
31,IDBI Liquid Fund - Direct Plan,6.12,6.51,--,--,--
32,IDFC Cash Fund - Direct Plan,5.7,6.22,--,--,--
33,IDFC Cash Fund - Regular Plan,5.64,6.15,7.21,--,--
34,IIFL Liquid Fund - Direct Plan,5.15,5.7,--,--,--
35,IIFL Liquid Fund - Regular Plan,5.1,5.64,--,--,--
36,Indiabulls Liquid Fund,5.64,6.19,--,--,--
37,Indiabulls Liquid Fund - Direct Plan,5.75,6.3,--,--,--
38,Indiabulls Liquid - Unclaimed,--,--,--,--,--
39,Invesco India Liquid Fund,5.73,6.23,7.28,--,--
40,Invesco India Liquid Fund - Direct Plan,5.8,6.31,--,--,--
41,ITI Liquid Fund - Direct Plan,--,--,--,--,--
42,ITI Liquid Fund - Regular Plan,--,--,--,--,--
43,JM Liquid Fund,5.73,6.25,7.31,7.48,7.28
44,JM Liquid Fund - Direct Plan,5.81,6.34,--,--,--
45,Kotak Liquid - Direct Plan,5.81,6.29,--,--,--
46,Kotak Liquid - Regular Plan,5.75,6.24,7.27,7.48,--
