Fund Name,1Yr,3Yr,5Yr,10Yr,15Yr,20Yr
Aditya Birla Sun Life Liquid Fund,4.9,6.05,6.48,0.0,0.0,0.0
Aditya Birla Sun Life Liquid Fund - Direct Plan,5.0,5.91,6.37,7.34,0.0,0.0
Axis Liquid Fund,4.89,5.97,6.43,0.0,0.0,0.0
Axis Liquid Fund - Direct Plan,4.95,5.82,6.31,7.34,0.0,0.0
Baroda Liquid Fund,4.76,5.93,6.42,0.0,0.0,0.0
Baroda Liquid Fund - Direct Plan,4.87,5.84,6.29,7.28,7.48,0.0
BNP Paribas Liquid Fund,4.77,5.96,6.41,0.0,0.0,0.0
BNP Paribas Liquid Fund - Direct Plan,4.88,5.82,6.33,0.0,0.0,0.0
BOI AXA Liquid Fund - Direct Plan,4.75,5.73,6.24,7.19,0.0,0.0
BOI AXA Liquid Fund - Regular Plan,4.66,0.0,0.0,0.0,0.0,0.0
BOI AXA Liquid - Unclaimed,0.0,5.48,6.04,0.0,0.0,0.0
Canara Robeco Liquid Fund - Direct Plan,4.26,5.45,6.01,7.12,0.0,0.0
Canara Robeco Liquid Fund - Regular Plan,4.24,0.0,0.0,0.0,0.0,0.0
DSP Liquid ETF - Regular Plan,3.62,5.89,6.37,0.0,0.0,0.0
DSP Liquidity Fund - Direct Plan,4.83,5.79,6.26,7.26,0.0,0.0
DSP Liquidity Fund - Regular Plan,4.74,6.03,6.41,0.0,0.0,0.0
Edelweiss Liquid Fund - Direct Plan,5.02,5.81,6.23,7.17,0.0,0.0
Edelweiss Liquid Fund - Regular Plan,4.75,5.42,6.06,7.24,0.0,0.0
Essel Liquid Fund,4.17,5.51,6.16,0.0,0.0,0.0
Essel Liquid Fund - Direct Plan,4.22,6.13,6.54,0.0,0.0,0.0
Franklin India Liquid Fund - Direct Plan,5.14,6.06,6.47,7.45,7.62,0.0
Franklin India Liquid Fund - Super Institutional Plan,5.06,5.74,6.2,7.23,7.41,0.0
HDFC Liquid Fund,4.69,5.85,6.3,0.0,0.0,0.0
HDFC Liquid Fund - Direct Plan,4.8,5.78,6.27,0.0,0.0,0.0
HSBC Cash Fund,4.65,5.88,6.35,0.0,0.0,0.0
HSBC Cash Fund - Direct Plan,4.75,0.0,0.0,0.0,0.0,0.0
ICICI Prudential Liquid ETF,3.38,5.89,6.33,7.33,0.0,0.0
ICICI Prudential Liquid Fund,4.88,5.98,6.41,0.0,0.0,0.0
ICICI Prudential Liquid Fund - Direct Plan,4.98,6.04,6.42,7.33,0.0,0.0
IDBI Liquid Fund,5.13,6.12,6.51,0.0,0.0,0.0
IDBI Liquid Fund - Direct Plan,5.18,5.7,6.22,0.0,0.0,0.0
IDFC Cash Fund - Direct Plan,4.64,5.64,6.15,7.21,0.0,0.0
IDFC Cash Fund - Regular Plan,4.59,5.15,5.7,0.0,0.0,0.0
IIFL Liquid Fund - Direct Plan,4.04,5.1,5.64,0.0,0.0,0.0
IIFL Liquid Fund - Regular Plan,3.99,5.64,6.19,0.0,0.0,0.0
Indiabulls Liquid Fund,4.5,5.75,6.3,0.0,0.0,0.0
Indiabulls Liquid Fund - Direct Plan,4.61,0.0,0.0,0.0,0.0,0.0
Indiabulls Liquid - Unclaimed,0.0,5.73,6.23,7.28,0.0,0.0
Invesco India Liquid Fund,4.65,5.8,6.31,0.0,0.0,0.0
Invesco India Liquid Fund - Direct Plan,4.73,0.0,0.0,0.0,0.0,0.0
ITI Liquid Fund - Direct Plan,3.8,0.0,0.0,0.0,0.0,0.0
ITI Liquid Fund - Regular Plan,3.69,5.73,6.25,7.31,7.48,7.28
JM Liquid Fund,4.56,5.81,6.34,0.0,0.0,0.0
JM Liquid Fund - Direct Plan,4.64,5.81,6.29,0.0,0.0,0.0
Kotak Liquid - Direct Plan,4.77,5.75,6.24,7.27,7.48,0.0
Kotak Liquid - Regular Plan,4.71,5.84,6.28,7.25,7.44,0.0
LIC MF Liquid Fund,4.89,5.99,6.43,0.0,0.0,0.0
LIC MF Liquid Fund - Direct Plan,5.03,5.83,6.3,7.31,0.0,0.0
L&T Liquid Fund,4.82,5.88,6.36,0.0,0.0,0.0
L&T Liquid Fund - Direct Plan,4.87,6.06,0.0,0.0,0.0,0.0
Mahindra Manulife Liquid Fund - Direct Plan,5.03,5.94,0.0,0.0,0.0,0.0
Mahindra Manulife Liquid Fund - Regular Plan,4.91,5.8,6.24,6.97,0.0,0.0
Mirae Asset Cash Management Fund,4.76,5.9,6.34,0.0,0.0,0.0
Mirae Asset Cash Management Fund - Direct Plan,4.86,0.0,0.0,0.0,0.0,0.0
Motilal Oswal Liquid Fund - Direct Plan,4.01,0.0,0.0,0.0,0.0,0.0
Motilal Oswal Liquid Fund - Regular Plan,3.85,0.0,0.0,0.0,0.0,0.0
Motilal Oswal Liquid Fund - Unclaimed,0.0,3.55,4.16,5.27,5.7,0.0
Nippon India ETF Liquid BeES,2.16,5.94,6.38,7.35,7.52,0.0
Nippon India Liquid Fund,4.89,6.03,6.47,0.0,0.0,0.0
Nippon India Liquid Fund - Direct Plan,4.99,0.0,0.0,0.0,0.0,0.0
Parag Parikh Liquid Fund - Direct Plan,4.25,0.0,0.0,0.0,0.0,0.0
Parag Parikh Liquid Fund - Regular Plan,4.14,5.91,6.36,7.34,0.0,0.0
PGIM India Insta Cash Fund,4.82,6.03,6.46,0.0,0.0,0.0
PGIM India Insta Cash Fund - Direct Plan,5.0,3.35,3.78,5.72,6.4,0.0
Principal Cash Management Fund,4.37,3.41,3.85,0.0,0.0,0.0
Principal Cash Management Fund - Direct Plan,4.43,6.57,6.82,0.0,0.0,0.0
Quant Liquid - Direct Plan,5.74,6.24,6.57,7.64,0.0,0.0
Quant Liquid Plan,5.38,5.21,5.65,6.71,0.0,0.0
Quantum Liquid Fund - Direct Plan,4.19,5.14,0.0,0.0,0.0,0.0
Quantum Liquid - Regular Plan,4.1,5.78,6.23,7.25,0.0,0.0
SBI Liquid Fund,4.77,5.87,6.32,0.0,0.0,0.0
SBI Liquid Fund - Direct Plan,4.85,5.91,6.38,0.0,0.0,0.0
Sundaram Money Fund - Direct Plan,4.85,5.83,6.29,7.29,0.0,0.0
Sundaram Money Fund - Regular Plan,4.76,6.01,6.44,0.0,0.0,0.0
Tata Liquid Fund - Direct Plan,5.03,5.9,6.35,7.35,7.54,0.0
Tata Liquid Fund - Regular Plan,4.9,4.42,4.48,0.0,0.0,0.0
Taurus Liquid Fund - Direct Plan,3.44,4.82,4.69,5.99,0.0,0.0
Taurus Liquid Fund - Regular Plan,4.2,4.97,5.32,0.0,0.0,0.0
Union Liquid Fund,4.88,5.07,5.44,0.0,0.0,0.0
Union Liquid Fund - Direct Plan,4.99,0.0,0.0,0.0,0.0,0.0
Union Liquid - Unclaimed,0.0,5.93,6.39,0.0,0.0,0.0
UTI Liquid Cash Fund - Direct Plan,4.87,5.85,6.32,7.3,7.47,0.0
UTI Liquid Cash Fund - Regular Plan,4.78,0.0,0.0,0.0,0.0,0.0
YES Liquid Fund - Direct Plan,4.34,0.0,0.0,0.0,0.0,0.0
