,Fund Name,1 Yr Ret (%)
1,Aditya Birla Sun Life Low Duration Fund,7.9
2,Aditya Birla Sun Life Low Duration Fund - Direct Plan,8.81
3,Axis Treasury Advantage Fund,7.78
4,Axis Treasury Advantage Fund - Direct Plan,8.11
5,Baroda Treasury Advantage Fund,-15.95
6,Baroda Treasury Advantage Fund - Direct Plan,-15.72
7,BNP Paribas Low Duration Fund,7.68
8,BNP Paribas Low Duration Fund - Direct Plan,8.58
9,Canara Robeco Savings Fund - Direct Plan,7.07
10,Canara Robeco Savings Fund - Regular Plan,6.82
11,DSP Low Duration Fund - Direct Plan,7.48
12,DSP Low Duration Fund - Regular Plan,7.18
13,Edelweiss Low Duration Fund - Direct Plan,-1.86
14,Edelweiss Low Duration Fund - Regular Plan,-2.64
15,Franklin India Low Duration Fund,-3.71
16,Franklin India Low Duration Fund - Direct Plan,-3.36
17,HDFC Low Duration Fund,7.78
18,HDFC Low Duration Fund - Direct Plan,8.43
19,HSBC Low Duration Fund,3.59
20,HSBC Low Duration Fund - Direct Plan,4.44
21,ICICI Prudential Savings Fund,8.44
22,ICICI Prudential Savings Fund - Direct Plan,8.54
23,IDFC Low Duration Fund - Direct Plan,7.68
24,IDFC Low Duration Fund - Regular Plan,7.44
25,Invesco India Treasury Advantage Fund,7.74
26,Invesco India Treasury Advantage Fund - Direct Plan,8.07
27,JM Low Duration Fund,17.85
28,JM Low Duration Fund - Direct Plan,17.97
29,Kotak Low Duration Fund - Standard Plan,8.48
30,Kotak Low Duration Fund - Standard Plan - Direct Plan,9.3
31,LIC MF Savings Fund,7.58
32,LIC MF Savings Fund - Direct Plan,8.14
33,L&T Low Duration Fund,7.28
34,L&T Low Duration Fund - Direct Plan,7.86
35,Mahindra Manulife Low Duration Fund - Direct Plan,7.76
36,Mahindra Manulife Low Duration Fund - Regular Plan,6.88
37,Mirae Asset Savings Fund - Direct Plan,7.03
38,Mirae Asset Savings Fund - Regular Savings Plan,6.4
39,Nippon India Low Duration Fund,7.81
40,Nippon India Low Duration Fund - Direct Plan,8.46
41,PGIM India Low Duration Fund,9.74
42,PGIM India Low Duration Fund - Direct Plan,10.57
43,Principal Low Duration Fund,5.57
44,Principal Low Duration Fund - Direct Plan,5.75
45,SBI Magnum Low Duration Fund,7.24
46,SBI Magnum Low Duration Fund - Direct Plan,7.88
47,Sundaram Low Duration Fund - Direct Plan,7.3
48,Sundaram Low Duration Fund - Regular Plan,6.82
49,Tata Treasury Advantage Fund - Direct Plan,8
50,Tata Treasury Advantage Fund - Regular Plan,7.83
51,UTI Treasury Advantage Fund - Direct Plan,7.92
52,UTI Treasury Advantage Fund - Regular Plan,7.82
