,Fund Name,3Yr,5Yr,10Yr,15Yr,20Yr
1,Aditya Birla Sun Life Low Duration Fund,8.06,7.72,7.98,7.84,7.54
2,Aditya Birla Sun Life Low Duration Fund - Direct Plan,8.97,8.62,--,--,--
3,Aditya Birla Sun Life Low Duration Fund - Institutional Plan,8.06,7.72,8.08,8.04,--
4,Axis Treasury Advantage Fund,8.16,7.84,8.14,--,--
5,Axis Treasury Advantage Fund - Direct Plan,8.53,8.27,--,--,--
6,Axis Treasury Advantage Fund - Retail Plan,8.25,7.75,7.76,--,--
7,Baroda Treasury Advantage Fund,-13.02,-8.1,-0.68,--,--
8,Baroda Treasury Advantage Fund - Direct Plan,-12.78,-7.81,--,--,--
9,Baroda Treasury Advantage Fund - Regular Plan,-13.02,-8.14,-0.93,--,--
10,Baroda Treasury Advantage Plan A - Segregated Portfolio 1,--,--,--,--,--
11,Baroda Treasury Advantage Plan B - Segregated Portfolio 1 - Direct Plan,--,--,--,--,--
12,Baroda Treasury Advantage - Segregated Portfolio 1 - Regular Plan,--,--,--,--,--
13,BNP Paribas Low Duration Fund,7.39,7.22,7.69,--,--
14,BNP Paribas Low Duration Fund - Direct Plan,8.25,8.03,--,--,--
15,BNP Paribas Low Duration Fund - Regular Plan,8.11,7.79,7.98,--,--
16,Canara Robeco Savings Fund - Direct Plan,7.62,7.57,--,--,--
17,Canara Robeco Savings Fund - Regular Plan,7.36,7.33,7.9,7.98,--
18,DSP Low Duration Fund - Direct Plan,8.18,7.98,--,--,--
19,DSP Low Duration Fund - Regular Plan,7.86,7.65,--,--,--
20,Edelweiss Low Duration Fund - Direct Plan,-2.97,0.34,--,--,--
21,Edelweiss Low Duration Fund - Regular Plan,-3.75,-0.4,2.7,--,--
22,Edelweiss Low Duration Fund - Retail Plan,-3.71,-0.31,2.62,--,--
23,Franklin India Low Duration Fund,2.1,4.24,6.81,--,--
24,Franklin India Low Duration Fund - Direct Plan,2.47,4.61,--,--,--
25,Franklin India Low Duration Fund - Segregated Portfolio 2 - Direct Plan,--,--,--,--,--
26,Franklin India Low Duration Fund - Segregated Portfolio 2 - Regular Plan,--,--,--,--,--
27,HDFC Low Duration Fund,7.82,7.5,7.71,7.65,7.41
28,HDFC Low Duration Fund - Direct Plan,8.47,8.17,--,--,--
29,HSBC Low Duration Fund,1.6,2.87,--,--,--
30,HSBC Low Duration Fund - Direct Plan,2.42,3.72,--,--,--
31,HSBC Low Duration Fund - Regular Plan,1.3,2.56,4.87,--,--
32,ICICI Prudential Savings Fund,8.45,8.14,8.5,8.39,--
33,ICICI Prudential Savings Fund - Direct Plan,8.57,8.27,--,--,--
34,IDFC Low Duration Fund - Direct Plan,8.05,7.91,--,--,--
35,IDFC Low Duration Fund - Regular Plan,7.82,7.69,8.24,--,--
36,Invesco India Treasury Advantage Fund,8.1,7.77,8.09,--,--
37,Invesco India Treasury Advantage Fund - Direct Plan,8.43,8.13,--,--,--
38,Invesco India Treasury Advantage Fund - Retail Plan,7.46,7.17,7.41,--,--
39,JM Low Duration Fund,10.06,7.71,7.66,--,--
40,JM Low Duration Fund - Direct Plan,10.17,7.82,--,--,--
41,Kotak Low Duration Fund - Standard Plan,8.27,8.02,8.34,--,--
42,Kotak Low Duration Fund - Standard Plan - Direct Plan,9.08,8.83,--,--,--
43,LIC MF Savings Fund,6.04,6.22,7,7.12,--
44,LIC MF Savings Fund - Direct Plan,6.59,6.83,--,--,--
45,L&T Low Duration Fund,6.4,6.79,--,--,--
46,L&T Low Duration Fund - Direct Plan,6.94,7.29,--,--,--
47,Mahindra Manulife Low Duration Fund - Direct Plan,8.12,--,--,--,--
48,Mahindra Manulife Low Duration Fund - Regular Plan,7.21,--,--,--,--
49,Mirae Asset Savings Fund - Direct Plan,7.17,7.1,--,--,--
50,Mirae Asset Savings Fund - Regular Savings Plan,6.49,6.39,--,--,--
51,Nippon India Low Duration Fund,7.36,7.28,7.89,--,--
52,Nippon India Low Duration Fund - Direct Plan,7.87,7.73,--,--,--
53,Nippon India Low Duration Fund - Retail Plan,7.02,6.89,7.48,--,--
54,PGIM India Low Duration Fund,-2.06,0.45,4.3,--,--
55,PGIM India Low Duration Fund - Direct Plan,-1.35,1.16,--,--,--
56,PGIM India Low Duration Fund - Institutional Plan,-2.3,-0.14,3.45,--,--
57,Principal Low Duration Fund,-0.66,1.08,4.3,5.52,--
58,Principal Low Duration Fund - Direct Plan,-0.42,1.4,--,--,--
59,SBI Magnum Low Duration Fund,7.69,7.57,8.03,--,--
60,SBI Magnum Low Duration Fund - Direct Plan,8.16,7.91,--,--,--
61,SBI Magnum Low Duration Fund - Institutional Plan,7.7,7.57,8.04,--,--
62,Sundaram Low Duration Fund - Direct Plan,3.48,4.55,--,--,--
63,Sundaram Low Duration Fund - Institutional Plan,3.61,4.27,5.93,--,--
64,Sundaram Low Duration Fund - Regular Plan,2.96,3.97,6.03,--,--
65,Sundaram Low Duration Fund - Retail Plan,2.96,3.91,5.54,--,--
66,Tata Treasury Advantage Fund - Direct Plan,5.83,6.2,--,--,--
67,Tata Treasury Advantage Fund - Regular Plan,5.64,6,7.21,7.51,--
68,Tata Treasury Advantage Fund Segregated Portfolio 1 - Direct Plan,--,--,--,--,--
69,Tata Treasury Advantage Fund Segregated Portfolio 1 - Regular Plan,--,--,--,--,--
70,UTI Treasury Advantage Fund - Direct Plan,3.13,4.14,--,--,--
71,UTI Treasury Advantage Fund Discontinued,2.51,3.5,5.65,6.32,6.49
72,UTI Treasury Advantage Fund - Regular Plan,3.01,4.01,6.16,--,--
