Fund Name,3Yr,5Yr,10Yr,15Yr,20Yr
Aditya Birla Sun Life Short Term Fund,9.58,8.61,8.98,8.79,0.0
Aditya Birla Sun Life Short Term Fund - Direct Plan,10.33,9.35,0.0,0.0,0.0
Axis Short Term Fund,9.52,8.6,8.53,0.0,0.0
Axis Short Term Fund - Direct Plan,10.24,9.33,0.0,0.0,0.0
Axis Short Term Fund - Retail Plan,9.53,8.6,8.5,0.0,0.0
Baroda Short Term Bond Fund,8.19,8.06,8.36,0.0,0.0
Baroda Short Term Bond Fund - Direct Plan,8.94,8.81,0.0,0.0,0.0
BNP Paribas Short Term Fund,8.25,7.69,8.02,0.0,0.0
BNP Paribas Short Term Fund - Direct Plan,9.1,8.44,0.0,0.0,0.0
BNP Paribas Short Term Fund - Regular Plan,8.35,7.78,8.08,7.98,0.0
BOI AXA Short Term Income Fund - Direct Plan,-5.43,-1.83,0.0,0.0,0.0
BOI AXA Short Term Income Fund - Regular Plan,-5.95,-2.47,2.4,0.0,0.0
Canara Robeco Short Duration Fund - Direct Plan,9.07,8.62,0.0,0.0,0.0
Canara Robeco Short Duration Fund - Regular Plan,8.33,7.84,0.0,0.0,0.0
DSP Short Term Fund,8.67,7.9,8.14,7.95,0.0
DSP Short Term Fund - Direct Plan,9.43,8.69,0.0,0.0,0.0
Franklin India Short Term Income Plan - Direct Plan,-3.29,1.17,0.0,0.0,0.0
Franklin India Short Term Income Plan - Institutional Plan,-3.78,0.72,5.16,6.68,0.0
Franklin India Short Term Income Plan - Retail Plan,-4.04,0.39,4.8,6.35,0.0
Franklin India Short-Term Income Plan Retail Plan-Segregated Portfolio 2 - Direct Plan,0.0,0.0,0.0,0.0,0.0
Franklin India Short-Term Income Plan Retail Plan-Segregated Portfolio 2 - Institutional Plan,0.0,0.0,0.0,0.0,0.0
Franklin India Short-Term Income Plan Retail Plan-Segregated Portfolio 2 - Regular Plan,0.0,0.0,0.0,0.0,0.0
Franklin India Short-Term Income Plan Retail Plan-Segregated Portfolio 3 - Direct Plan,0.0,0.0,0.0,0.0,0.0
Franklin India Short-Term Income Plan Retail Plan-Segregated Portfolio 3 - Institutional Plan,0.0,0.0,0.0,0.0,0.0
Franklin India Short-Term Income Plan Retail Plan-Segregated Portfolio 3 - Regular Plan,0.0,0.0,0.0,0.0,0.0
HDFC Short Term Debt Fund,9.89,8.96,8.89,0.0,0.0
HDFC Short Term Debt Fund - Direct Plan,10.13,9.17,0.0,0.0,0.0
HSBC Short Duration Fund,3.08,3.76,5.69,6.31,0.0
HSBC Short Duration Fund - Direct Plan,4.07,4.76,0.0,0.0,0.0
ICICI Prudential Short Term Fund,9.46,8.59,8.7,8.66,0.0
ICICI Prudential Short Term Fund - Direct Plan,10.3,9.45,0.0,0.0,0.0
IDBI Short Term Bond Fund,5.49,5.5,0.0,0.0,0.0
IDBI Short Term Bond Fund - Direct Plan,6.3,6.45,0.0,0.0,0.0
IDFC All Seasons Bond Fund - Direct Plan,10.38,9.25,0.0,0.0,0.0
IDFC All Seasons Bond Fund - Regular Plan,9.96,8.81,8.6,8.29,0.0
IDFC Bond Fund Short Term Plan - Direct Plan,9.95,9.02,0.0,0.0,0.0
IDFC Bond Fund Short Term Plan - Regular Plan,9.4,8.48,8.4,8.27,0.0
Indiabulls Short Term Fund - Direct Plan,6.75,7.21,0.0,0.0,0.0
Indiabulls Short Term Fund - Regular Plan,5.53,6.03,0.0,0.0,0.0
Invesco India Short Term Fund,8.72,7.86,7.89,0.0,0.0
Invesco India Short Term Fund - Direct Plan,9.64,8.72,0.0,0.0,0.0
Invesco India Short Term Fund - Plan B,8.72,7.86,7.83,0.0,0.0
JM Short Term Fund,3.69,4.24,6.02,0.0,0.0
JM Short Term Fund - Direct Plan,3.95,4.51,0.0,0.0,0.0
JM Short Term Fund - Regular Plan,3.69,4.23,5.91,6.86,0.0
Kotak Bond - Short Term Fund - Direct Plan,10.14,9.25,0.0,0.0,0.0
Kotak Bond - Short Term Regular Fund,9.24,8.34,8.34,8.27,0.0
LIC MF Short Term Debt Fund - Direct Plan,0.0,0.0,0.0,0.0,0.0
LIC MF Short Term Debt Fund - Regular Plan,0.0,0.0,0.0,0.0,0.0
L&T Short Term Bond Fund,9.03,8.25,0.0,0.0,0.0
L&T Short Term Bond Fund - Direct Plan,9.57,8.79,0.0,0.0,0.0
Mirae Asset Short Term Fund - Direct Plan,0.0,0.0,0.0,0.0,0.0
Mirae Asset Short Term Fund - Regular Plan,0.0,0.0,0.0,0.0,0.0
Nippon India Short Term Fund,8.67,7.93,8.25,8.34,0.0
Nippon India Short Term Fund - Direct Plan,9.5,8.7,0.0,0.0,0.0
PGIM India Short Maturity Fund,4.49,4.93,6.66,7.31,0.0
PGIM India Short Maturity Fund - Direct Plan,5.35,5.82,0.0,0.0,0.0
Principal Short Term Debt Fund,5.18,5.14,6.57,7.17,0.0
Principal Short Term Debt Fund - Direct Plan,5.72,5.8,0.0,0.0,0.0
SBI Short Horizon Debt Fund - Short Term Fund - Retail Plan,8.98,8.22,8.37,0.0,0.0
SBI Short Term Debt Fund,8.98,8.22,8.38,0.0,0.0
SBI Short Term Debt Fund - Direct Plan,9.54,8.81,0.0,0.0,0.0
Sundaram Short Term Debt Fund,3.16,3.8,6.0,6.55,0.0
Sundaram Short Term Debt Fund - Direct Plan,3.88,4.63,0.0,0.0,0.0
Tata Short Term Bond Fund - Direct Plan,8.38,7.47,0.0,0.0,0.0
Tata Short Term Bond Fund - Regular Plan,7.42,6.53,7.34,7.6,0.0
UTI Short Term Income Fund - Direct Plan,4.59,5.01,0.0,0.0,0.0
UTI Short Term Income Fund Discontinued - Regular Plan,3.7,4.1,6.17,6.98,0.0
UTI Short Term Income Fund - Regular Plan,4.14,4.53,6.56,0.0,0.0
