,Fund Name,3Yr,5Yr,10Yr,15Yr,20Yr
1,Aditya Birla Sun Life Equity Advantage Fund - Direct Plan,3.73,5.93,--,--,--
2,Aditya Birla Sun Life Equity Advantage Fund - Regular Plan,2.77,4.8,10.93,10.65,14.17
3,Axis Growth Opportunities Fund - Direct Plan,--,--,--,--,--
4,Axis Growth Opportunities Fund - Regular Plan,--,--,--,--,--
5,Baroda Large & Mid Cap Fund - Direct Plan,--,--,--,--,--
6,Baroda Large & Mid Cap Fund - Regular Plan,--,--,--,--,--
7,BOI AXA Large & Mid Cap Equity Fund - Direct Plan,4.31,6.06,--,--,--
8,BOI AXA Large & Mid Cap Equity Fund - Regular Plan,3.11,4.78,7.77,--,--
9,Canara Robeco Emerging Equities Fund - Direct Plan,8.65,10.96,--,--,--
10,Canara Robeco Emerging Equities Fund - Regular Plan,7.45,9.63,17.25,16.75,--
11,DSP Equity Opportunities Fund,3.78,6.55,11.2,11.68,17.24
12,DSP Equity Opportunities Fund - Direct Plan,4.76,7.64,--,--,--
13,Edelweiss Large & Mid Cap Fund - Direct Plan,7.34,9.13,--,--,--
14,Edelweiss Large & Mid Cap Fund Regular Plan,5.78,7.73,10.43,--,--
15,Essel Large & Midcap Fund,2.97,--,--,--,--
16,Essel Large & Midcap Fund - Direct Plan,4.78,--,--,--,--
17,Franklin India Equity Advantage Fund,-1.7,1.26,7.87,9.8,--
18,Franklin India Equity Advantage Fund - Direct Plan,-0.88,2.11,--,--,--
19,HDFC Growth Opportunities Fund - Direct Plan,2.14,4.22,--,--,--
20,HDFC Growth Opportunities Fund - Regular Plan,1.93,4.03,6.26,6.82,10.88
21,HSBC Large and Mid Cap Equity Fund - Direct Plan,--,--,--,--,--
22,HSBC Large and Mid Cap Equity Fund - Regular Plan,--,--,--,--,--
23,ICICI Prudential Large & Mid Cap Fund,0.82,3.65,8.32,9.65,14.04
24,ICICI Prudential Large & Mid Cap Fund - Direct Plan,1.65,4.67,--,--,--
25,ICICI Prudential Midcap Select ETF,0.88,--,--,--,--
26,IDFC Core Equity Fund - Direct Plan,3.4,6.61,--,--,--
27,IDFC Core Equity Fund - Regular Plan,2.18,5.15,8.64,8.63,--
28,Invesco India Growth Opportunities Fund,5.2,8.26,11.62,--,--
29,Invesco India Growth Opportunities Fund - Direct Plan,6.42,9.75,--,--,--
30,Kotak Equity Opportunities Fund - Direct Plan,7.89,9.61,--,--,--
31,Kotak Equity Opportunities Fund - Regular Plan,6.74,8.32,11.84,12.04,--
32,LIC MF Large & Mid Cap Fund - Direct Plan,6.33,9.49,--,--,--
33,LIC MF Large & Mid Cap Fund - Regular Plan,4.82,7.85,--,--,--
34,L&T Large and Midcap Fund,3.89,5.85,10.34,--,--
35,L&T Large and Midcap Fund - Direct Plan,4.73,6.73,--,--,--
36,Mahindra Manulife Top 250 Nivesh Yojana - Direct Plan,--,--,--,--,--
37,Mahindra Manulife Top 250 Nivesh Yojana - Regular Plan,--,--,--,--,--
38,Mirae Asset Emerging Bluechip Fund - Direct Plan,11.11,13.29,--,--,--
39,Mirae Asset Emerging Bluechip Fund - Regular Plan,10.07,12.27,19.45,--,--
40,Motilal Oswal Large and Midcap Fund - Direct Plan,--,--,--,--,--
41,Motilal Oswal Large and Midcap Fund - Regular Plan,--,--,--,--,--
42,Nippon India Vision Fund,-0.1,1.99,6.9,8.09,15.77
43,Nippon India Vision Fund - Direct Plan,0.42,2.6,--,--,--
44,Principal Emerging Bluechip Fund,5.13,7.97,15.19,--,--
45,Principal Emerging Bluechip Fund - Direct Plan,6.27,9.19,--,--,--
46,Quant Large and Mid Cap Fund,7.49,8.12,13.31,--,--
47,Quant Large and Mid Cap Fund - Direct Plan,7.77,8.37,--,--,--
48,SBI Large & Midcap Fund,2.93,5.59,10.97,11.64,17.21
49,SBI Large & Midcap Fund - Direct Plan,3.62,6.31,--,--,--
50,Sundaram Large and Mid Cap Fund,3.42,7.07,10.75,--,--
51,Sundaram Large and Mid Cap Fund - Direct Plan,4.6,8.23,--,--,--
52,Tata Large & Mid Cap Fund - Direct Plan,6.47,7.99,--,--,--
53,Tata Large & Mid Cap Fund - Regular Plan,6.13,7.12,10.89,10.98,--
54,Union Large & Midcap Fund - Direct Plan,--,--,--,--,--
55,Union Large & Midcap Fund - Regular Plan,--,--,--,--,--
56,UTI Core Equity Fund - Direct Plan,0.83,3.23,--,--,--
57,UTI Core Equity Fund - Regular Plan,0.36,2.7,7.2,8.07,12.3
