Fund Name,3Yr,5Yr,10Yr,15Yr,20Yr
Aditya Birla Sun Life Focused Equity Fund,3.46,5.69,10.29,0.0,0.0
Aditya Birla Sun Life Focused Equity Fund - Direct Plan,4.4,6.78,0.0,0.0,0.0
Aditya Birla Sun Life Frontline Equity Fund,1.71,4.43,9.48,11.31,0.0
Aditya Birla Sun Life Frontline Equity Fund - Direct Plan,2.43,5.31,0.0,0.0,0.0
Aditya Birla Sun Life Index Fund,4.4,6.82,8.29,8.55,0.0
Aditya Birla Sun Life Index Fund - Direct Plan,4.6,7.04,0.0,0.0,0.0
Aditya Birla Sun Life Nifty ETF Fund,5.07,7.73,0.0,0.0,0.0
Aditya Birla Sun Life Nifty Next 50 ETF - Regular Plan,0.0,0.0,0.0,0.0,0.0
Aditya Birla Sun Life Sensex ETF,4.29,0.0,0.0,0.0,0.0
Axis Bluechip Fund,8.24,10.75,12.19,0.0,0.0
Axis Bluechip Fund - Direct Plan,9.61,12.17,0.0,0.0,0.0
Axis Nifty 100 Index Fund - Direct Plan,0.0,0.0,0.0,0.0,0.0
Axis Nifty 100 Index Fund - Regular Plan,0.0,0.0,0.0,0.0,0.0
Axis Nifty ETF - Regular Plan,5.18,0.0,0.0,0.0,0.0
Baroda Large Cap Fund,3.5,5.13,6.94,0.0,0.0
Baroda Large Cap Fund - Direct Plan,4.17,5.91,0.0,0.0,0.0
BHARAT 22 ETF,0.0,0.0,0.0,0.0,0.0
BNP Paribas Large Cap Fund,6.28,7.47,10.91,10.85,0.0
BNP Paribas Large Cap Fund - Direct Plan,7.5,8.8,0.0,0.0,0.0
Canara Robeco Bluechip Equity Fund - Direct Plan,11.31,12.04,0.0,0.0,0.0
Canara Robeco Bluechip Equity Fund - Regular Plan,9.89,10.67,11.37,0.0,0.0
DSP Equal Nifty 50 Fund - Direct Plan,0.0,0.0,0.0,0.0,0.0
DSP Equal Nifty 50 Fund - Regular Plan,0.0,0.0,0.0,0.0,0.0
DSP Nifty 50 Index Fund - Direct Plan,0.0,0.0,0.0,0.0,0.0
DSP Nifty 50 Index Fund - Regular Plan,0.0,0.0,0.0,0.0,0.0
DSP Nifty Next 50 Index Fund - Direct Plan,0.0,0.0,0.0,0.0,0.0
DSP Nifty Next 50 Index Fund - Regular Plan,0.0,0.0,0.0,0.0,0.0
DSP Top 100 Equity Fund - Direct Plan,1.92,4.54,0.0,0.0,0.0
DSP Top 100 Equity Fund - Regular Plan,1.19,3.79,7.22,9.15,0.0
Edelweiss ETF - Nifty 100 Quality 30,6.0,0.0,0.0,0.0,0.0
Edelweiss Exchange Traded Fund-Nifty 50,5.08,7.99,0.0,0.0,0.0
Edelweiss Large Cap Fund - Direct Plan,6.77,8.88,0.0,0.0,0.0
Edelweiss Large Cap Fund - Regular Plan,5.31,7.58,10.39,0.0,0.0
Essel Large Cap Equity Fund,2.57,4.88,0.0,0.0,0.0
Essel Large Cap Equity Fund - Direct Plan,4.17,6.46,0.0,0.0,0.0
Franklin India Bluechip Fund,-1.29,1.81,6.75,8.95,14.67
Franklin India Bluechip Fund - Direct Plan,-0.53,2.66,0.0,0.0,0.0
Franklin India Index Fund - NSE Nifty Plan,4.04,6.58,8.26,8.68,11.9
Franklin India Index Fund - NSE Nifty Plan - Direct Plan,4.52,7.06,0.0,0.0,0.0
HDFC Index Fund Nifty 50 Plan,4.66,7.36,8.97,8.8,0.0
HDFC Index Fund Nifty 50 Plan - Direct Plan,4.85,7.55,0.0,0.0,0.0
HDFC Index Fund - Sensex Plan,5.62,8.36,9.45,9.12,0.0
HDFC Index Fund - Sensex Plan - Direct Plan,5.84,8.57,0.0,0.0,0.0
HDFC Nifty 50 ETF,5.13,0.0,0.0,0.0,0.0
HDFC Sensex ETF,6.2,0.0,0.0,0.0,0.0
HDFC Top 100 Fund,-1.98,2.92,7.63,10.06,16.8
