Fund Name,3Yr,5Yr,10Yr,15Yr,20Yr
Aditya Birla Sun Life Mid Cap Fund,-0.84,1.6,9.61,11.19,0.0
Aditya Birla Sun Life Mid Cap Fund - Direct Plan,0.03,2.55,0.0,0.0,0.0
Axis Midcap Fund,12.27,12.84,0.0,0.0,0.0
Axis Midcap Fund - Direct Plan,13.69,14.23,0.0,0.0,0.0
Baroda Midcap Fund,6.38,6.48,0.0,0.0,0.0
Baroda Midcap Fund - Direct Plan,7.23,7.39,0.0,0.0,0.0
BNP Paribas Midcap Fund,6.08,6.28,13.36,0.0,0.0
BNP Paribas Midcap Fund - Direct Plan,7.55,7.87,0.0,0.0,0.0
DSP Midcap Fund - Direct Plan,11.38,11.52,0.0,0.0,0.0
DSP Midcap Fund - Regular Plan,10.43,10.55,15.22,0.0,0.0
Edelweiss Mid Cap Fund - Direct Plan,8.27,9.31,0.0,0.0,0.0
Edelweiss Mid Cap Fund - Regular Plan,6.68,7.9,14.72,0.0,0.0
Franklin India Prima Fund,1.47,4.29,12.88,13.35,19.2
Franklin India Prima Fund - Direct Plan,2.35,5.29,0.0,0.0,0.0
HDFC Mid-Cap Opportunities Fund,3.82,5.86,13.49,0.0,0.0
HDFC Mid-Cap Opportunities Fund - Direct Plan,4.58,6.77,0.0,0.0,0.0
ICICI Prudential Midcap 150 ETF,0.0,0.0,0.0,0.0,0.0
ICICI Prudential Midcap Fund,2.47,4.71,12.04,11.59,0.0
ICICI Prudential Midcap Fund - Direct Plan,3.42,5.78,0.0,0.0,0.0
IDBI Midcap Fund - Direct Plan,3.61,0.0,0.0,0.0,0.0
IDBI Midcap Fund - Regular Plan,2.41,0.0,0.0,0.0,0.0
Invesco India Mid Cap Fund,9.3,9.86,14.95,0.0,0.0
Invesco India Mid Cap Fund - Direct Plan,10.85,11.6,0.0,0.0,0.0
Kotak Emerging Equity Fund - Direct Plan,8.31,9.58,0.0,0.0,0.0
Kotak Emerging Equity Fund Regular Plan,7.02,8.19,14.9,0.0,0.0
L&T Midcap Fund,4.51,7.31,14.72,14.48,0.0
L&T Midcap Fund - Direct Plan,5.64,8.45,0.0,0.0,0.0
Mahindra Manulife Mid Cap Unnati Yojana - Direct Plan,0.0,0.0,0.0,0.0,0.0
Mahindra Manulife Mid Cap Unnati Yojana - Regular Plan,0.0,0.0,0.0,0.0,0.0
Mirae Asset Midcap Fund - Direct Plan,0.0,0.0,0.0,0.0,0.0
Mirae Asset Midcap Fund - Regular Plan,0.0,0.0,0.0,0.0,0.0
Motilal Oswal Midcap 100 Exchange Traded Fund,1.9,3.52,0.0,0.0,0.0
Motilal Oswal Midcap 30 Fund - Direct Plan,3.25,4.32,0.0,0.0,0.0
Motilal Oswal Midcap 30 Fund - Regular Plan,2.08,3.05,0.0,0.0,0.0
Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,0.0,0.0,0.0,0.0,0.0
Motilal Oswal Nifty Midcap 150 Index Fund - Regular Plan,0.0,0.0,0.0,0.0,0.0
Nippon India ETF Nifty Midcap 150 - Regular Plan,0.0,0.0,0.0,0.0,0.0
Nippon India Growth Fund,6.75,7.78,11.27,11.85,20.16
Nippon India Growth Fund - Direct Plan,7.41,8.52,0.0,0.0,0.0
PGIM India Midcap Opportunities Fund - Direct Plan,16.72,12.32,0.0,0.0,0.0
PGIM India Midcap Opportunities Fund - Regular Plan,14.99,10.71,0.0,0.0,0.0
Principal Midcap Fund - Direct Plan,0.0,0.0,0.0,0.0,0.0
Principal Midcap Fund - Regular Plan,0.0,0.0,0.0,0.0,0.0
Quant Mid Cap Fund,10.36,9.01,9.4,8.22,0.0
Quant Mid Cap Fund - Direct Plan,11.75,9.99,0.0,0.0,0.0
SBI Magnum Midcap Fund,4.36,3.78,12.51,12.08,0.0
SBI Magnum Midcap Fund - Direct Plan,5.26,4.79,0.0,0.0,0.0
Sundaram Mid Cap Fund - Direct Plan,-0.75,2.41,0.0,0.0,0.0
Sundaram Mid Cap Fund - Regular Plan,-1.49,1.65,11.01,12.95,0.0
Tata Midcap Growth Fund - Direct Plan,8.76,9.22,0.0,0.0,0.0
Tata Midcap Growth Fund - Regular Plan,7.45,8.03,13.98,13.54,0.0
Taurus Discovery (Midcap) Fund - Direct Plan,9.5,10.31,0.0,0.0,0.0
Taurus Discovery (Midcap) Fund - Regular Plan,9.04,9.82,13.99,11.66,13.01
Union Midcap Fund - Direct Plan,0.0,0.0,0.0,0.0,0.0
Union Midcap Fund - Regular Plan,0.0,0.0,0.0,0.0,0.0
UTI Mid Cap Fund - Direct Plan,8.46,7.8,0.0,0.0,0.0
UTI Mid Cap Fund - Regular Plan,7.58,6.86,13.91,14.04,0.0
