3Yr,5Yr,10Yr,15Yr,20Yr
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
3.21,6.18,11.83,11.81,17.2
4.15,7.25,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
5.89,9.69,0.0,0.0,0.0
7.19,11.07,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
2.67,4.35,7.7,8.65,0.0
3.49,5.27,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
1.03,4.2,9.79,11.25,0.0
2.43,5.79,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
10.22,11.39,0.0,0.0,0.0
9.06,10.35,11.29,12.29,0.0
5.76,8.0,10.9,11.98,17.83
6.7,8.93,0.0,0.0,0.0
3.64,5.36,9.35,0.0,0.0
4.69,6.37,0.0,0.0,0.0
4.59,8.17,0.0,0.0,0.0
2.87,6.66,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.08,2.78,9.24,11.03,16.58
0.89,3.74,0.0,0.0,0.0
-2.42,2.06,10.7,0.0,0.0
-1.52,3.13,0.0,0.0,0.0
-3.12,2.14,7.68,10.31,17.01
-2.5,2.91,0.0,0.0,0.0
-5.22,-0.86,5.38,7.46,0.0
-4.36,0.15,0.0,0.0,0.0
5.36,0.0,0.0,0.0,0.0
4.02,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
1.71,4.13,9.25,9.58,0.0
2.73,5.11,0.0,0.0,0.0
5.99,6.68,9.02,0.0,0.0
7.07,7.83,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
-0.76,3.09,9.25,10.15,0.0
0.2,4.17,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
5.16,6.69,0.0,0.0,0.0
3.64,4.97,0.0,0.0,0.0
7.67,10.13,0.0,0.0,0.0
6.28,8.52,9.04,0.0,0.0
0.16,3.25,0.0,0.0,0.0
-0.51,2.51,9.67,13.45,0.0
14.56,13.9,0.0,0.0,0.0
12.96,12.34,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
3.21,5.36,12.65,0.0,0.0
4.57,6.94,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.98,5.46,9.99,0.0,0.0
1.77,6.46,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
4.8,8.14,0.0,0.0,0.0
3.79,7.01,12.31,0.0,0.0
2.13,3.77,6.21,6.65,9.41
2.92,4.62,0.0,0.0,0.0
2.48,4.84,9.03,10.69,0.0
3.18,5.6,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
7.83,0.0,0.0,0.0,0.0
5.97,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
1.95,5.95,0.0,0.0,0.0
1.02,4.95,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
1.28,4.06,11.76,0.0,0.0
1.96,4.91,0.0,0.0,0.0
-4.49,0.32,7.29,10.67,0.0
-3.83,1.07,0.0,0.0,0.0
-6.09,-0.97,0.0,0.0,0.0
-5.16,0.16,0.0,0.0,0.0
17.76,15.98,0.0,0.0,0.0
16.85,15.16,0.0,0.0,0.0
15.03,13.05,0.0,0.0,0.0
13.01,11.13,0.0,0.0,0.0
5.75,7.57,10.09,0.0,0.0
6.53,8.38,0.0,0.0,0.0
1.09,5.33,10.93,10.01,0.0
1.96,6.27,0.0,0.0,0.0
18.07,15.19,15.57,13.13,0.0
18.61,15.61,0.0,0.0,0.0
3.49,6.0,10.5,0.0,0.0
3.28,0.0,0.0,0.0,0.0
5.26,8.62,13.18,14.18,0.0
6.33,9.71,0.0,0.0,0.0
1.63,5.17,11.27,0.0,0.0
2.61,6.28,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
8.49,11.21,0.0,0.0,0.0
6.82,9.53,0.0,0.0,0.0
-1.79,1.27,0.0,0.0,0.0
-1.92,1.06,5.61,7.31,13.61
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
7.82,7.86,0.0,0.0,0.0
8.52,8.58,0.0,0.0,0.0
3.97,6.93,0.0,0.0,0.0
3.06,5.99,9.32,9.6,0.0
10.51,10.85,0.0,0.0,0.0
9.9,10.26,12.1,12.65,16.04
