Fund Name,3Yr,5Yr,10Yr,15Yr,20Yr
Aditya Birla Sun Life Small Cap Fund,-3.54,-0.37,9.32,0.0,0.0
Aditya Birla Sun Life Small Cap Fund - Direct Plan,-2.47,0.82,0.0,0.0,0.0
Axis Small Cap Fund - Direct Plan,14.92,13.81,0.0,0.0,0.0
Axis Small Cap Fund - Regular Plan,13.37,12.36,0.0,0.0,0.0
BOI AXA Small Cap Fund - Direct Plan,0.0,0.0,0.0,0.0,0.0
BOI AXA Small Cap Fund - Regular Plan,0.0,0.0,0.0,0.0,0.0
Canara Robeco Small Cap Fund - Direct Plan,0.0,0.0,0.0,0.0,0.0
Canara Robeco Small Cap Fund - Regular Plan,0.0,0.0,0.0,0.0,0.0
DSP Small Cap Fund - Direct Plan,8.97,7.36,0.0,0.0,0.0
DSP Small Cap Fund - Regular Plan,8.16,6.63,15.68,0.0,0.0
Edelweiss Small Cap Fund - Direct Plan,0.0,0.0,0.0,0.0,0.0
Edelweiss Small Cap Fund - Regular Plan,0.0,0.0,0.0,0.0,0.0
Franklin India Smaller Companies Fund,-1.61,1.0,12.38,0.0,0.0
Franklin India Smaller Companies Fund - Direct Plan,-0.72,2.09,0.0,0.0,0.0
HDFC Small Cap Fund - Direct Plan,0.66,6.07,0.0,0.0,0.0
HDFC Small Cap Fund - Regular Plan,-0.41,4.78,10.91,0.0,0.0
HSBC Small Cap Equity Fund,1.62,2.51,10.11,9.06,0.0
HSBC Small Cap Equity Fund - Direct Plan,2.75,3.57,0.0,0.0,0.0
ICICI Prudential Smallcap Fund,5.97,5.65,9.49,0.0,0.0
ICICI Prudential Smallcap Fund - Direct Plan,7.24,6.71,0.0,0.0,0.0
IDBI Small Cap Fund - Direct Plan,1.96,0.0,0.0,0.0,0.0
IDBI Small Cap Fund - Regular Plan,0.63,0.0,0.0,0.0,0.0
IDFC Emerging Businesses Fund - Direct Plan,0.0,0.0,0.0,0.0,0.0
IDFC Emerging Businesses Fund - Regular Plan,0.0,0.0,0.0,0.0,0.0
Invesco India Smallcap Fund - Direct Plan,0.0,0.0,0.0,0.0,0.0
Invesco India Smallcap Fund - Regular Plan,0.0,0.0,0.0,0.0,0.0
ITI Small Cap Fund - Direct Plan,0.0,0.0,0.0,0.0,0.0
ITI Small Cap Fund - Regular Plan,0.0,0.0,0.0,0.0,0.0
Kotak Small Cap Fund - Direct Plan,11.43,10.22,0.0,0.0,0.0
Kotak Small Cap Fund - Regular Plan,10.05,8.75,13.61,13.05,0.0
L&T Emerging Businesses Fund,-1.39,3.98,0.0,0.0,0.0
L&T Emerging Businesses Fund - Direct Plan,-0.37,5.06,0.0,0.0,0.0
Motilal Oswal Nifty Smallcap 250 Index Fund - Direct Plan,0.0,0.0,0.0,0.0,0.0
Motilal Oswal Nifty Smallcap 250 Index Fund - Regular Plan,0.0,0.0,0.0,0.0,0.0
Nippon India Nifty Smallcap 250 Index Fund - Direct Plan,0.0,0.0,0.0,0.0,0.0
Nippon India Nifty Smallcap 250 Index Fund - Regular Plan,0.0,0.0,0.0,0.0,0.0
Nippon India Small Cap Fund,7.23,9.15,17.64,0.0,0.0
Nippon India Small Cap Fund - Direct Plan,8.16,10.27,0.0,0.0,0.0
Principal Small Cap Fund - Direct Plan,0.0,0.0,0.0,0.0,0.0
Principal Small Cap Fund - Regular Plan,0.0,0.0,0.0,0.0,0.0
Quant Small Cap Fund,20.0,11.14,8.6,9.99,0.0
Quant Small Cap Fund - Direct Plan,20.4,11.45,0.0,0.0,0.0
SBI Small Cap Fund,10.14,12.43,20.0,0.0,0.0
SBI Small Cap Fund - Direct Plan,11.4,13.77,0.0,0.0,0.0
Sundaram Small Cap Fund - Direct Plan,0.63,1.34,0.0,0.0,0.0
Sundaram Small Cap Fund - Regular Plan,-0.21,0.52,9.77,11.08,0.0
Tata Small Cap Fund - Direct Plan,0.0,0.0,0.0,0.0,0.0
Tata Small Cap Fund - Regular Plan,0.0,0.0,0.0,0.0,0.0
Union Small Cap Fund - Direct Plan,11.94,8.93,0.0,0.0,0.0
Union Small Cap Fund - Regular Plan,11.25,8.16,0.0,0.0,0.0
