,Fund Name,1 Yr Ret (%)
1,Aditya Birla Sun Life Equity Savings Fund - Direct Plan,9.01
2,Aditya Birla Sun Life Equity Savings Fund - Regular Plan,8.05
3,Aditya Birla Sun Life Low Duration Fund,7.9
4,Aditya Birla Sun Life Low Duration Fund - Direct Plan,8.81
5,Aditya Birla Sun Life Regular Savings Fund,2.86
6,Aditya Birla Sun Life Regular Savings Fund - Direct Plan,3.7
7,Aditya Birla Sun Life Retirement Fund - The 50s Plan - Direct Plan,8.78
8,Aditya Birla Sun Life Retirement Fund - The 50s Plan - Regular Plan,7.18
9,Axis Children's Gift - Direct Plan,9.97
10,Axis Children's Gift - Regular Plan,8.52
11,Axis Equity Saver Fund - Direct Plan,6.71
12,Axis Equity Saver Fund - Regular Plan,5.39
13,Axis Regular Saver Fund,10.52
14,Axis Regular Saver Fund - Direct Plan,11.56
15,Axis Retirement Savings Fund - Conservative Plan - Direct Plan,--
16,Axis Retirement Savings Fund - Conservative Plan - Regular Plan,--
17,Axis Treasury Advantage Fund,7.78
18,Axis Treasury Advantage Fund - Direct Plan,8.11
19,Baroda Conservative Hybrid Fund,10.2
20,Baroda Conservative Hybrid Fund - Direct Plan,11.09
21,Baroda Equity Savings Fund - Direct Plan,12.46
22,Baroda Equity Savings Fund - Regular Plan,11.29
23,Baroda Treasury Advantage Fund,-15.95
24,Baroda Treasury Advantage Fund - Direct Plan,-15.72
25,BNP Paribas Conservative Hybrid Fund,6.97
26,BNP Paribas Conservative Hybrid Fund - Direct Plan,8.6
27,BNP Paribas Low Duration Fund,7.68
28,BNP Paribas Low Duration Fund - Direct Plan,8.58
29,BOI AXA Conservative Hybrid Fund - Direct Plan,12.03
30,BOI AXA Conservative Hybrid Fund - Regular Plan,11.36
31,Canara Robeco Conservative Hybrid Fund - Direct Plan,13.67
32,Canara Robeco Conservative Hybrid Fund - Regular Plan,12.48
33,Canara Robeco Savings Fund - Direct Plan,7.07
34,Canara Robeco Savings Fund - Regular Plan,6.82
35,DSP Equity Savings Fund - Direct Plan,7.61
36,DSP Equity Savings Fund - Regular Plan,5.99
37,DSP Low Duration Fund - Direct Plan,7.48
38,DSP Low Duration Fund - Regular Plan,7.18
39,DSP Regular Savings Fund,7.6
40,DSP Regular Savings Fund - Direct Plan,9.35
41,Edelweiss Equity Savings Fund - Direct Plan,11.62
42,Edelweiss Equity Savings Fund - Regular Plan,10.52
43,Edelweiss Low Duration Fund - Direct Plan,-1.86
44,Edelweiss Low Duration Fund - Regular Plan,-2.64
45,Essel Regular Savings Fund,4.83
46,Essel Regular Savings Fund - Direct Plan,6.36
47,Franklin India Debt Hybrid Fund,4.74
48,Franklin India Debt Hybrid Fund - Direct Plan,5.64
49,Franklin India Equity Savings Fund - Direct Plan,4.14
50,Franklin India Equity Savings Fund - Regular Plan,2.32
51,Franklin India Life Stage Fund of Funds 30s,-9.27
52,Franklin India Life Stage Fund of Funds 30s - Direct Plan,-8.62
53,Franklin India Life Stage Fund of Funds 40s,-13.23
54,Franklin India Life Stage Fund of Funds 40s - Direct Plan,-12.7
55,Franklin India Life Stage Fund of Funds 50s Plus,-22.32
56,Franklin India Life Stage Fund of Funds 50s Plus - Direct Plan,-21.87
57,Franklin India Life Stage Fund of Funds 50s Plus - Floating Rate,6.25
58,Franklin India Life Stage Fund of Funds 50s Plus - Floating Rate - Direct Plan,6.88
59,Franklin India Low Duration Fund,-3.71
60,Franklin India Low Duration Fund - Direct Plan,-3.36
61,Franklin India Pension Fund,5.11
62,Franklin India Pension Fund - Direct Plan,5.92
63,HDFC Equity Savings Fund,2.31
64,HDFC Equity Savings Fund - Direct Plan,3.04
65,HDFC Hybrid Debt Fund,5.04
66,HDFC Hybrid Debt Fund - Direct Plan,5.48
67,HDFC Low Duration Fund,7.78
68,HDFC Low Duration Fund - Direct Plan,8.43
69,HDFC Retirement Savings Fund - Hybrid Debt Plan - Direct Plan,8.44
70,HDFC Retirement Savings Fund - Hybrid Debt Plan - Regular Plan,7.28
71,HSBC Low Duration Fund,3.59
72,HSBC Low Duration Fund - Direct Plan,4.44
73,HSBC Managed Solutions India - Conservative - Direct Plan,7.92
74,HSBC Managed Solutions India - Conservative - Regular Plan,7.11
75,HSBC Regular Savings Fund,7.31
76,HSBC Regular Savings Fund - Direct Plan,9.29
77,ICICI Prudential Asset Allocator (FOF) Fund,7.57
78,ICICI Prudential Asset Allocator Fund (FOF) - Direct Plan,8.92
79,ICICI Prudential Equity Savings Fund,4.23
80,ICICI Prudential Equity Savings Fund - Direct Plan,4.86
81,ICICI Prudential Income Optimizer Fund (FOF),6.87
82,ICICI Prudential Income Optimizer Fund (FOF) - Direct Plan,7.55
83,ICICI Prudential Passive Strategy Fund (FOF),2.96
84,ICICI Prudential Passive Strategy Fund (FOF) - Direct Plan,3.3
85,ICICI Prudential Regular Savings Fund,10.21
86,ICICI Prudential Regular Savings Fund - Direct Plan,10.94
87,ICICI Prudential Retirement Fund - Hybrid Conservative Plan,8.43
88,ICICI Prudential Retirement Fund - Hybrid Conservative Plan - Direct Plan,10.25
89,ICICI Prudential Savings Fund,8.44
90,ICICI Prudential Savings Fund - Direct Plan,8.54
91,ICICI Prudential Thematic Advantage Fund (FOF),12.7
92,ICICI Prudential Thematic Advantage Fund (FOF) - Direct,12.53
93,IDBI Equity Savings Fund,6.31
94,IDBI Equity Savings Fund - Direct Plan,7.29
95,IDFC Asset Allocation Fund - Aggressive Plan - Direct Plan,8.86
96,IDFC Asset Allocation Fund - Aggressive Plan - Regular Plan,7.98
97,IDFC Asset Allocation Fund - Conservative Plan - Direct Plan,8.42
98,IDFC Asset Allocation Fund - Conservative Plan - Regular Plan,7.69
99,IDFC Asset Allocation Fund - Moderate Plan - Direct Plan,8.43
