,Fund Name,3Yr,5Yr,10Yr,15Yr,20Yr
1,Aditya Birla Sun Life Equity Savings Fund - Direct Plan,5.67,6.44,--,--,--
2,Aditya Birla Sun Life Equity Savings Fund - Regular Plan,4.68,5.35,--,--,--
3,Aditya Birla Sun Life Regular Savings Fund,2.72,4.19,7.98,8.47,--
4,Aditya Birla Sun Life Regular Savings Fund - Direct Plan,3.54,5.18,--,--,--
5,Aditya Birla Sun Life Retirement Fund - The 50s Plan - Direct Plan,--,--,--,--,--
6,Aditya Birla Sun Life Retirement Fund - The 50s Plan - Regular Plan,--,--,--,--,--
7,Axis Children's Gift - Direct Plan,7.82,--,--,--,--
8,Axis Children's Gift - Regular Plan,6.37,--,--,--,--
9,Axis Equity Saver Fund - Direct Plan,6.22,7.26,--,--,--
10,Axis Equity Saver Fund - Regular Plan,4.99,6,--,--,--
11,Axis Regular Saver Fund,5.6,5.64,7.17,--,--
12,Axis Regular Saver Fund - Direct Plan,6.6,6.77,--,--,--
13,Axis Retirement Savings Fund - Conservative Plan - Direct Plan,--,--,--,--,--
14,Axis Retirement Savings Fund - Conservative Plan - Regular Plan,--,--,--,--,--
15,Baroda Conservative Hybrid Fund,10.21,8.8,8.53,7.51,--
16,Baroda Conservative Hybrid Fund - Direct Plan,11.12,9.71,--,--,--
17,Baroda Equity Savings Fund - Direct Plan,--,--,--,--,--
18,Baroda Equity Savings Fund - Regular Plan,--,--,--,--,--
19,BNP Paribas Conservative Hybrid Fund,6.18,6.4,7.75,7.32,--
20,BNP Paribas Conservative Hybrid Fund - Direct Plan,7.93,8.38,--,--,--
21,BOI AXA Conservative Hybrid Fund - Direct Plan,2.1,3.08,--,--,--
22,BOI AXA Conservative Hybrid Fund - Eco Plan,1.82,2.77,5.58,--,--
23,BOI AXA Conservative Hybrid Fund - Regular Plan,1.51,2.47,5.36,--,--
24,Canara Robeco Conservative Hybrid Fund - Direct Plan,10.97,9.55,--,--,--
25,Canara Robeco Conservative Hybrid Fund - Regular Plan,9.85,8.43,8.61,--,--
26,DSP Equity Savings Fund - Direct Plan,5.4,--,--,--,--
27,DSP Equity Savings Fund - Regular Plan,3.82,--,--,--,--
28,DSP Regular Savings Fund,4.15,4.39,6.6,7.41,--
29,DSP Regular Savings Fund - Direct Plan,5.8,5.84,--,--,--
30,Edelweiss Equity Savings Fund - Direct Plan,8.7,8.69,--,--,--
31,Edelweiss Equity Savings Fund - Regular Plan,7.6,7.7,--,--,--
32,Essel Regular Savings Fund,4.65,4.98,6.59,--,--
33,Essel Regular Savings Fund - Direct Plan,6.25,6.66,--,--,--
