Fund Name,1Yr,3Yr,5Yr,10Yr,15Yr,20Yr
Aditya Birla Sun Life Equity Savings Fund - Direct Plan,9.01,5.67,6.44,0.0,0.0,0.0
Aditya Birla Sun Life Equity Savings Fund - Regular Plan,8.05,4.68,5.35,0.0,0.0,0.0
Aditya Birla Sun Life Low Duration Fund,7.9,2.72,4.19,7.98,8.47,0.0
Aditya Birla Sun Life Low Duration Fund - Direct Plan,8.81,3.54,5.18,0.0,0.0,0.0
Aditya Birla Sun Life Regular Savings Fund,2.86,0.0,0.0,0.0,0.0,0.0
Aditya Birla Sun Life Regular Savings Fund - Direct Plan,3.7,0.0,0.0,0.0,0.0,0.0
Aditya Birla Sun Life Retirement Fund - The 50s Plan - Direct Plan,8.78,7.82,0.0,0.0,0.0,0.0
Aditya Birla Sun Life Retirement Fund - The 50s Plan - Regular Plan,7.18,6.37,0.0,0.0,0.0,0.0
Axis Children's Gift - Direct Plan,9.97,6.22,7.26,0.0,0.0,0.0
Axis Children's Gift - Regular Plan,8.52,4.99,6.0,0.0,0.0,0.0
Axis Equity Saver Fund - Direct Plan,6.71,5.6,5.64,7.17,0.0,0.0
Axis Equity Saver Fund - Regular Plan,5.39,6.6,6.77,0.0,0.0,0.0
Axis Regular Saver Fund,10.52,0.0,0.0,0.0,0.0,0.0
Axis Regular Saver Fund - Direct Plan,11.56,0.0,0.0,0.0,0.0,0.0
Axis Retirement Savings Fund - Conservative Plan - Direct Plan,0.0,10.21,8.8,8.53,7.51,0.0
Axis Retirement Savings Fund - Conservative Plan - Regular Plan,0.0,11.12,9.71,0.0,0.0,0.0
Axis Treasury Advantage Fund,7.78,0.0,0.0,0.0,0.0,0.0
Axis Treasury Advantage Fund - Direct Plan,8.11,0.0,0.0,0.0,0.0,0.0
Baroda Conservative Hybrid Fund,10.2,6.18,6.4,7.75,7.32,0.0
Baroda Conservative Hybrid Fund - Direct Plan,11.09,7.93,8.38,0.0,0.0,0.0
